Symbol,Name,Sector,Industry,Type,MarketCap,Analyst Rating,Rating Source,Rating Updated ET,Source,SourceSymbol
NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,Stock,5084136000000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,NVDA
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,Stock,4861029474400.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,AAPL
GOOGL,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,Stock,4273039700000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,GOOGL
GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing,Stock,4228033300000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,GOOG
MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software,Stock,3752944946606.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,MSFT
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,Stock,2734761943045.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,AMZN
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors,Stock,2168010914921.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,TSM
SPCX,Space Exploration Technologies Corp. Class A Common Stock,Technology,Computer Software: Programming Data Processing,Stock,2010813523744.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,SPCX
META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,Stock,1695620143360.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,META
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,Stock,1645565687063.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,AVGO
TSLA,Tesla Inc. Common Stock,Industrials,Auto Manufacturing,Stock,1417769028024.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,TSLA
SKHY,SK hynix Inc. American Depositary Shares,Technology,Semiconductors,Stock,1280106477650.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,SKHY
BRK-B,Berkshire Hathaway Inc.,,,Stock,1136140040496.0,Not Rated,Nasdaq Stock Screener — no consensus rating returned,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,BRK/B
BRK-A,Berkshire Hathaway Inc.,,,Stock,1135176456397.0,Not Rated,Nasdaq Stock Screener — no consensus rating returned,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,BRK/A
LLY,Eli Lilly and Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,1071527919948.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,LLY
