Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Stock 2,Sector 2,Name 2,Stock 3,Sector 3,Name 3,Stock 4,Sector 4,Name 4,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Best Year,Best Year %,2016 Ending Balance ($),2017 Ending Balance ($),2018 Ending Balance ($),2019 Ending Balance ($),2020 Ending Balance ($),2021 Ending Balance ($),2022 Ending Balance ($),2023 Ending Balance ($),2024 Ending Balance ($),2025 Ending Balance ($),Starting Value ($),Monthly Withdrawal ($),Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),Positive Months,Months Funded,HWM Excluded,Monthly Return Method,Monthly Data Start,Monthly Data End
1,PBR + TSLA + NVDA + ANET,Not rebalanced monthly,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,32.07682728529859,127.02638802653192,165.77067477785602,-46.22780341313174,85.31808506246014,141.97694065859983,36.883827893838216,-11.063145965916576,63.35470315872016,93.85736219654497,2022,-46.22780341313174,2023,165.77067477785602,489026.3461512256,722724.8066088031,596300.7382355558,746950.0909525144,1705031.320437192,3070539.9370403853,1605074.5105704716,4184742.3588859797,9421424.091353912,12369071.405954435,300000.0,5000.0,600000.0,12369071.405954435,12969071.405954435,12669071.405954435,77,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
2,NEM + TSLA + NVDA + ANET,Not rebalanced monthly,NEM,Basic Materials,Newmont Corporation,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,35.18792321126034,136.43699619058992,161.55862594280487,-49.607542137444895,82.49973883404125,168.9293103094442,39.59153334453633,-17.71443348186953,69.52468484554366,82.60251443197315,2022,-49.607542137444895,2020,168.9293103094442,464195.10275798716,710651.891861895,539447.55186665,681347.0629267958,1732764.1275773116,3074739.9971883628,1504409.738378342,3855187.863538024,9034910.796738673,12138432.28875945,300000.0,5000.0,600000.0,12138432.28875945,12738432.28875945,12438432.28875945,78,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
3,AEM + TSLA + NVDA + ANET,Not rebalanced monthly,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,34.91525362711465,138.4853990931315,167.01517277512465,-49.62474326792542,81.78335128729405,166.02050424761535,43.78479846770122,-18.814414515171805,71.92144028575447,75.43769265160726,2022,-49.62474326792542,2023,167.01517277512465,444105.2895407893,687568.5140221401,513095.97326720925,665914.3168663341,1669861.4200177176,2947720.3017781707,1439653.0581192006,3763801.818487367,8895656.257312672,11926232.190678388,300000.0,5000.0,600000.0,11926232.190678386,12526232.190678386,12226232.190678386,76,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
4,NEM + PBR + NVDA + ANET,Not rebalanced monthly,NEM,Basic Materials,Newmont Corporation,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,36.47780514226402,134.25382444824675,164.3892159194908,-36.173626876849355,94.48565009379311,61.354695105592796,37.12912322629256,-12.022044545839094,53.772423948849315,119.12315058141746,2022,-36.173626876849355,2023,164.3892159194908,568532.3828940615,798624.7430551597,655971.2001708379,831676.41377257,1264139.3329956941,2368606.2914265892,1457882.1081451196,3771615.638063296,8759000.4746642,11879364.469203796,300000.0,5000.0,600000.0,11879364.469203798,12479364.469203798,12179364.469203798,76,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
5,ISRG + TSLA + NVDA + ANET,Not rebalanced monthly,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,32.56515863723828,135.9253282698735,159.83966404295487,-49.23607532790116,83.62534789432712,162.77321044848873,37.32707340442904,-11.709602530678943,87.05127403022269,64.10686058126642,2022,-49.23607532790116,2020,162.77321044848873,406680.5045721541,682084.6955280333,556216.7370475592,693455.5746248814,1720182.1636541286,3070699.2589811073,1512697.2916662123,3850491.9884536634,9004095.655887006,11861555.216516245,300000.0,5000.0,600000.0,11861555.216516247,12461555.216516247,12161555.216516247,80,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
6,NEM + PBR + TSLA + NVDA,Not rebalanced monthly,NEM,Basic Materials,Newmont Corporation,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,35.36854140340433,128.1014088721101,163.09698742815658,-48.166878076933564,76.47004858599703,141.74212454582533,46.052801039622196,-10.31027220476588,39.666077572865575,110.30181792168148,2022,-48.166878076933564,2023,163.09698742815658,545123.104197809,690852.6170008893,572125.7234760703,760257.5912673483,1737840.4583496714,2980681.031271292,1500347.6945984378,3867599.6235543457,8743626.195250198,11760901.32724101,300000.0,5000.0,600000.0,11760901.32724101,12360901.32724101,12060901.32724101,73,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
7,PBR + DHR + NVDA + ANET,Not rebalanced monthly,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,DHR,Industrials,Danaher Corporation Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,33.701619831132,129.689214403526,151.11534724844665,-34.91641988470737,97.51143767901738,61.283651891165334,40.56628178571353,-9.262742102411991,56.45563227880126,114.86711687087082,2022,-34.91641988470737,2023,151.11534724844665,548739.1061380121,782641.6659293568,662998.0450041015,864704.8211652203,1315338.8204434207,2507988.530153186,1577543.0731683292,3879350.7682012822,8834901.866804937,11738393.132504456,300000.0,5000.0,600000.0,11738393.132504456,12338393.132504456,12038393.132504456,77,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
8,PBR + ISRG + NVDA + ANET,Not rebalanced monthly,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,33.61790684625055,133.77567060665513,162.4300551935338,-36.184615309654156,95.7249750705785,60.1640797510216,35.2950972210476,-6.4650664407724046,66.6564264161359,100.6274967307108,2022,-36.184615309654156,2023,162.4300551935338,511024.4270656581,774098.1838666361,676846.3829910465,848771.6918117211,1278865.4037802275,2412511.4099439858,1484282.3634878758,3811987.830554645,8835225.235681692,11731682.304500189,300000.0,5000.0,600000.0,11731682.30450019,12331682.30450019,12031682.30450019,77,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
9,AEM + PBR + NVDA + ANET,Not rebalanced monthly,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,36.17791013497875,136.4330170687761,170.37214258868002,-35.734340445461264,93.80061808518909,57.883349016928086,40.62727266757411,-12.893039221554437,55.22374272484753,111.9583288010515,2022,-35.734340445461264,2023,170.37214258868002,548257.8298042573,775751.5477374364,629241.6381279387,816958.62613565,1210892.3351889963,2256302.7938107895,1395406.5753632034,3689224.493307004,8646103.122935144,11699676.061866822,300000.0,5000.0,600000.0,11699676.061866822,12299676.061866822,11999676.061866822,77,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
10,PBR + CAT + NVDA + ANET,Not rebalanced monthly,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,CAT,Industrials,Caterpillar Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,35.538271178176515,132.10023245482486,162.6541526819964,-33.46042093639541,97.25029491021071,59.50305434969889,35.19794937782048,-13.909613387815723,67.25494751381002,107.12538465095021,2022,-33.46042093639541,2023,162.6541526819964,527547.496767886,802667.3160696517,644837.3502656769,804660.9993198632,1202702.7736732564,2282838.9415719705,1463371.3081478353,3760284.717321074,8651708.949293593,11651775.41290795,300000.0,5000.0,600000.0,11651775.41290795,12251775.41290795,11951775.41290795,80,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
