Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Stock 1 Top100 Uses,Stock 2,Sector 2,Name 2,Stock 2 Top100 Uses,Stock 3,Sector 3,Name 3,Stock 3 Top100 Uses,Stock 4,Sector 4,Name 4,Stock 4 Top100 Uses,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Annual Withdrawal ($),Target Withdrawals,Withdrawals Fully Funded,Full 10Y Withdrawal Goal,Depleted Year,Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),Max Ticker Repeats,Distinct Tickers in Top 100,Ranking Window Start,Ranking Window End,Ranking Source,Ranking Method,2016 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2025 Balance After Withdrawal ($)
1,PBR + TSLA + AMD + ANET,Rebalanced annually,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,5,TSLA,Industrials,Tesla Inc. Common Stock,5,AMD,Technology,Advanced Micro Devices Inc. Common Stock,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,5,26.537602965289523,32.48338822801844,103.14180442584912,-19.59322148871433,56.24411828331657,214.3471559116855,48.59900466679018,25.895997936039212,45.394481052624556,110.8977791727318,2022,-19.59322148871433,2020,214.3471559116855,300000.0,160000.0,10,10,Yes,,1600000.0,5618589.401801372,7218589.401801372,6918589.401801372,5,84,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",472693.3375181954,527270.0250549113,503811.8598604845,588659.4091459237,1690434.1106567434,2481203.871356053,1835056.1012547067,3567766.0763154486,4566697.381952536,5618589.401801372
2,PBR + TSLA + NVDA + ANET,Rebalanced annually,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,5,TSLA,Industrials,Tesla Inc. Common Stock,5,NVDA,Technology,NVIDIA Corporation Common Stock,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,5,16.94187128806796,79.81032791977321,130.99862139323045,-18.4119897259016,73.38773372613028,219.9265186110535,30.72750740630365,-1.700809563454042,68.22832153247927,93.85733611576312,2022,-18.4119897259016,2020,219.9265186110535,300000.0,160000.0,10,10,Yes,,1600000.0,4204987.803273588,5804987.803273588,5504987.803273588,5,84,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",421572.0083472894,549203.5136934083,379862.60780968517,336584.9187581844,916824.4127529021,1429661.0715201595,1006432.021916653,2164844.095887483,3732613.267767133,4204987.803273588
3,FCX + TSLA + AMD + ANET,Rebalanced annually,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,5,TSLA,Industrials,Tesla Inc. Common Stock,5,AMD,Technology,Advanced Micro Devices Inc. Common Stock,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,5,35.654525346282426,30.69541063896329,84.26798667667744,-35.73682153443089,66.49003919787444,246.33260983785345,50.06309949149136,7.698493741845787,55.88569001257861,100.82624359496424,2022,-35.73682153443089,2020,246.33260983785345,300000.0,160000.0,10,10,Yes,,1600000.0,3442492.7919051484,5042492.791905148,4742492.791905148,5,84,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",442478.7307848927,529761.0226429299,410544.6418178341,456076.01430808334,1419539.963197647,2203392.6411572546,1255970.1452841032,2154350.8999751573,2655637.755326733,3442492.7919051484
4,NEM + TSLA + AMD + ANET,Rebalanced annually,NEM,Basic Materials,Newmont Corporation,5,TSLA,Industrials,Tesla Inc. Common Stock,5,AMD,Technology,Advanced Micro Devices Inc. Common Stock,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,5,70.0063828633094,31.09056977017705,78.65625924066659,-39.09306858574017,52.98850579607458,231.63902717325143,50.29526478874692,17.43829823933575,47.67563930195759,99.64295425763586,2022,-39.09306858574017,2020,231.63902717325143,300000.0,160000.0,10,10,Yes,,1600000.0,3267405.861591863,4867405.8615918625,4567405.8615918625,5,84,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",438928.8627729076,488191.0041807034,413323.2074673426,461205.20909638435,1369536.4687196093,1935233.3798264544,1018691.267356761,1659955.711470927,2016045.400099835,3267405.861591863
5,ISRG + TSLA + AMD + ANET,Rebalanced annually,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,5,TSLA,Industrials,Tesla Inc. Common Stock,5,AMD,Technology,Advanced Micro Devices Inc. Common Stock,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,5,28.92844398621908,46.72835982660679,87.6309318695583,-40.43793986237077,59.07665084108345,231.1657270391493,48.524626481769474,26.783173616868787,63.108936066267496,81.14730054148338,2022,-40.43793986237077,2020,231.1657270391493,300000.0,160000.0,10,10,Yes,,1600000.0,3219188.782178077,4819188.782178077,4519188.782178077,5,84,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",383441.9016244501,465428.00617190474,430084.39712645684,478781.24438844004,1425559.3889060637,2107732.131622382,1095408.6797770578,1895325.5136457193,2620980.0395475742,3219188.782178077
6,FCX + PBR + ISRG + AMD,Rebalanced annually,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,5,AMD,Technology,Advanced Micro Devices Inc. Common Stock,5,30.039895778413243,6.246715603273498,64.39871574810977,-7.812603534558839,42.625139399136145,52.136315609936304,56.29559816273154,23.34553698925241,27.204127288573403,135.29565863480815,2022,-7.812603534558839,2016,135.29565863480815,300000.0,160000.0,10,10,Yes,,1600000.0,1052222.2485462497,2652222.2485462497,2352222.2485462497,5,84,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",545886.9759044244,534390.763681208,499147.1570835529,620145.0348760083,783465.8074983135,957419.2000890372,722619.8338223362,1027977.7265450456,932192.5715873111,1052222.2485462497
7,FCX + PBR + ISRG + NVDA,Rebalanced annually,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,5,NVDA,Technology,NVIDIA Corporation Common Stock,5,20.44416410119168,53.57365529502828,92.25553271549109,-6.631371771746105,59.76875484194985,57.71567830930431,38.424100902245,-4.251270510240845,50.03796776842813,118.25521557783946,2022,-6.631371771746105,2016,118.25521557783946,300000.0,160000.0,10,10,Yes,,1600000.0,668187.9576321335,2268187.9576321337,1968187.9576321337,5,84,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",494765.64673351846,582336.3215752913,397579.6292657397,390346.02718157915,455636.8845228489,567965.3770028085,370301.48131895286,551925.0855631075,687611.5283894767,668187.9576321335
8,PBR + ISRG + DHR + NVDA,Rebalanced annually,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,5,DHR,Industrials,Danaher Corporation Common Stock,5,NVDA,Technology,NVIDIA Corporation Common Stock,5,11.679490042176656,55.84040843336951,88.52423126624018,-9.550705744714381,56.55778402918201,44.28509143265727,43.41558990544589,9.976409354055672,44.104924684951285,112.81591138654683,2022,-9.550705744714381,2016,112.81591138654683,300000.0,160000.0,10,10,Yes,,1600000.0,627038.1375447381,2227038.137544738,1927038.1375447381,5,84,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",478447.7341596405,529466.7469676059,422288.51703869645,445627.5678140059,482974.1436695651,596133.616762989,379198.64918063255,554881.3383397545,704729.3439892203,627038.1375447381
9,FCX + ISRG + DHR + NVDA,Rebalanced annually,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,5,DHR,Industrials,Danaher Corporation Common Stock,5,NVDA,Technology,NVIDIA Corporation Common Stock,5,20.796412423169556,54.05243084431436,69.6504135170685,-25.694305790430935,66.80370494373989,76.27054535882522,44.87968473014707,-8.221094840137754,54.596133644905336,102.74437580877927,2022,-25.694305790430935,2016,102.74437580877927,300000.0,160000.0,10,10,Yes,,1600000.0,27904.071708582196,1627904.071708582,1327904.071708582,5,84,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",448233.1274263377,532951.0847167597,329136.67059065204,316852.17068303935,398517.04924426926,504741.2029719094,215051.4548300074,204835.68239357928,155554.3479638481,27904.071708582196
10,FCX + NFLX + DHR + NVDA,Rebalanced annually,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,5,NFLX,Consumer Discretionary,Netflix Inc. Common Stock,5,DHR,Industrials,Danaher Corporation Common Stock,5,NVDA,Technology,NVIDIA Corporation Common Stock,5,19.967888775450184,61.139605189384994,79.14378644876291,-31.920386695180227,61.71766658531983,83.45117050398758,44.243297864301276,-6.170400058363795,50.200703957187116,100.7747218020119,2022,-31.920386695180227,2016,100.7747218020119,300000.0,160000.0,10,8,No,2024,1438927.7687109767,0.0,1438927.7687109767,1138927.7687109767,5,84,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",442324.1654060357,504374.0102126184,313252.1159920872,291845.18273669283,375393.4037899645,447077.4531243382,144368.60126008635,98627.37874043515,0.0,0.0
