Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Role 1,Stock 1 Top100 Uses,Stock 2,Sector 2,Name 2,Role 2,Stock 2 Top100 Uses,Stock 3,Sector 3,Name 3,Role 3,Stock 3 Top100 Uses,Stock 4,Sector 4,Name 4,Role 4,Stock 4 Top100 Uses,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Worst Year,Worst Year %,Best Year,Best Year %,Defense Recession Worst %,Defense Recession Avg %,Defense Recession Positive Years,Defense Recession Observations,Recession Stress Years,Starting Value ($),Annual Withdrawal ($),Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),Max Ticker Repeats,Distinct Tickers in Top 100,Candidate Partners per Profit Pair,NBER Recession Periods,NBER Source,2025 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2016 Balance After Withdrawal ($)
1,NVDA + ANET + LLY + CAT,Not rebalanced,NVDA,Technology,NVIDIA Corporation Common Stock,Profit Engine,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,Profit Engine,5,LLY,Health Care,Eli Lilly and Company Common Stock,Recession Defense,5,CAT,Industrials,Caterpillar Inc. Common Stock,Recession Defense,5,143.25540760031012,75.93241738397208,-18.60044789344556,47.74788661098612,74.5119666459648,86.27274999299772,-24.738510410552085,129.36558527974694,76.72313716624886,39.50343256349882,2022,-24.738510410552085,2016,143.25540760031012,-29.0527824971926,3.263100168432864,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,21361258.300472625,21361258.300472625,21061258.300472625,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,418510.2976904965,739604.5274424525,1696398.2531238878,1276734.5946704112,2378208.639604528,4150258.667918107,6131919.4707382675,4991354.984715553,8781411.484825462,21361258.300472625
2,NVDA + ANET + LLY + PH,Not rebalanced,NVDA,Technology,NVIDIA Corporation Common Stock,Profit Engine,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,Profit Engine,5,LLY,Health Care,Eli Lilly and Company Common Stock,Recession Defense,5,PH,Industrials,Parker-Hannifin Corporation Common Stock,Recession Defense,5,143.9149792168362,73.6944822364568,-19.091447243166083,49.39476835895373,75.38053764653918,86.96442851733556,-27.029929995072454,136.82046514178876,82.61030876996118,34.31281937226276,2022,-27.029929995072454,2016,143.9149792168362,-31.926369186768117,2.0585436637750636,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,21351220.397799212,21351220.397799212,21051220.397799212,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,402938.4581167883,735807.1625199878,1742541.9448264325,1271534.0770050737,2377316.4204757134,4169350.3197897663,6228791.252323218,5039624.8564989865,8753550.301155694,21351220.397799212
3,NVDA + TSLA + LLY + PGR,Not rebalanced,NVDA,Technology,NVIDIA Corporation Common Stock,Profit Engine,5,TSLA,Industrials,Tesla Inc. Common Stock,Profit Engine,5,LLY,Health Care,Eli Lilly and Company Common Stock,Recession Defense,5,PGR,Finance,Progressive Corporation (The) Common Stock,Recession Defense,5,123.26476170801813,59.382694135083035,-12.49953294003323,51.311592574900104,136.81671620222403,82.54636032658867,-34.27266695685706,138.25262393422827,82.88473980777727,21.875366835905517,2022,-34.27266695685706,2023,138.25262393422827,-21.698538195935242,9.415559159529565,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,21326904.07296148,21326904.07296148,21026904.07296148,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,365626.10050771653,668674.3425828596,1593134.1667786136,1047124.5996226798,1911487.8446955658,4526722.744412706,6849456.27602109,5993306.23258666,9552292.941262465,21326904.07296148
4,NVDA + TSLA + NFLX + LLY,Not rebalanced,NVDA,Technology,NVIDIA Corporation Common Stock,Profit Engine,5,TSLA,Industrials,Tesla Inc. Common Stock,Profit Engine,5,NFLX,Consumer Discretionary,Netflix Inc. Common Stock,Recession Defense,5,LLY,Health Care,Eli Lilly and Company Common Stock,Recession Defense,5,123.1916744671671,58.9823014732555,-11.576117657983032,51.411605717470586,141.7367884024562,86.60752456428202,-41.51604869247628,141.25369259333934,89.0844279598873,23.92883433891766,2022,-41.51604869247628,2020,141.7367884024562,-4.509128566938153,27.86714820616767,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,21256290.3595852,21256290.3595852,20956290.3595852,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,371786.50301675295,702990.3824612964,1695990.2562639164,991882.1156537356,1850926.6626172648,4474370.669895742,6774716.4770406885,5990467.326663695,9523782.824933344,21256290.3595852
5,NVDA + TSLA + LLY + SCCO,Not rebalanced,NVDA,Technology,NVIDIA Corporation Common Stock,Profit Engine,5,TSLA,Industrials,Tesla Inc. Common Stock,Profit Engine,5,LLY,Health Care,Eli Lilly and Company Common Stock,Recession Defense,5,SCCO,Basic Materials,Southern Copper Corporation Common Stock,Recession Defense,5,124.81209291652232,58.76803331159641,-15.010093781205969,52.50045393536937,137.63139143662886,77.52518624001519,-34.49792827416498,139.1448043731079,66.40566888200998,39.28213007090733,2022,-34.49792827416498,2023,139.1448043731079,-35.88673141271007,12.721333871247506,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,21256206.77823631,21256206.77823631,20956206.77823631,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,417846.390212722,695320.0805328136,1662821.846357133,1089182.7584737034,1933573.7204745768,4594778.13641673,7007057.5153586175,5955291.611000248,9455099.36875558,21256206.77823631
6,AMD + ANET + PGR + CAT,Not rebalanced,AMD,Technology,Advanced Micro Devices Inc. Common Stock,Profit Engine,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,Profit Engine,5,PGR,Finance,Progressive Corporation (The) Common Stock,Recession Defense,5,CAT,Industrials,Caterpillar Inc. Common Stock,Recession Defense,5,116.57800458491492,43.859871251559966,24.537935606071958,36.293556972074526,47.672226701708055,49.371735038437656,-12.873049621406352,67.2628739707839,29.17059512907145,38.28237505347931,2022,-12.873049621406352,2016,116.57800458491492,-29.449156958762096,15.409471297353353,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,9109657.856163638,9109657.856163638,8809657.856163638,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,414847.12516043795,535860.5004455816,896295.6735195051,780915.0867128209,1166466.4141998605,1722546.927576503,2347720.4781072005,2923802.61723571,4206178.680805033,9109657.856163638
7,AMD + ANET + PGR + PH,Not rebalanced,AMD,Technology,Advanced Micro Devices Inc. Common Stock,Profit Engine,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,Profit Engine,5,PGR,Finance,Progressive Corporation (The) Common Stock,Recession Defense,5,PH,Industrials,Parker-Hannifin Corporation Common Stock,Recession Defense,5,117.78191723652162,40.58598882001736,21.577431869698337,40.361627753257444,49.42322735122006,50.25812864418411,-17.69077166415731,77.12923566776652,33.25721744616803,33.09176186224325,2022,-17.69077166415731,2016,117.78191723652162,-32.322743648337614,14.204914792695554,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,9099619.953490224,9099619.953490224,8799619.953490224,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,399275.28558672976,532063.1355231169,942439.3652220498,775714.5690474834,1165574.195071046,1741638.5794481623,2444592.2596921506,2972072.4890191434,4178317.497135265,9099619.953490224
8,AMD + ANET + NFLX + CAT,Not rebalanced,AMD,Technology,Advanced Micro Devices Inc. Common Stock,Profit Engine,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,Profit Engine,5,NFLX,Consumer Discretionary,Netflix Inc. Common Stock,Recession Defense,5,CAT,Industrials,Caterpillar Inc. Common Stock,Recession Defense,5,116.36575528392368,43.02363799646034,28.50807479960096,36.090748631098315,51.02513348774478,52.39726950417671,-27.371133233902434,75.23550906479106,35.43143598412195,40.33584255649143,2022,-27.371133233902434,2016,116.36575528392368,-12.259747329765009,31.181128277453556,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,9039044.14278736,9039044.14278736,8739044.14278736,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,421007.5276694743,570176.5403240186,999151.7630048076,725672.6027438766,1105905.2321215593,1670194.8530595386,2272980.6791267986,2920963.7113127443,4177668.564475912,9039044.14278736
9,AMD + TSLA + NFLX + PGR,Not rebalanced,AMD,Technology,Advanced Micro Devices Inc. Common Stock,Profit Engine,5,TSLA,Industrials,Tesla Inc. Common Stock,Profit Engine,5,NFLX,Consumer Discretionary,Netflix Inc. Common Stock,Recession Defense,5,PGR,Finance,Progressive Corporation (The) Common Stock,Recession Defense,5,81.96623005166698,26.14471821082871,31.178465922204857,46.11704183955556,220.19849207833664,28.851565769318952,-44.628928310991256,79.44801536430471,35.619319428728936,22.70777682889811,2022,-44.628928310991256,2020,220.19849207833664,-4.905503028507652,34.09449689981519,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,9004689.915276214,9004689.915276214,8704689.915276214,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,368123.33048669435,499246.35546442546,895887.6766595335,496062.6076961452,639184.4372125972,2046658.9295541388,2990517.484409621,3922914.9591838527,4948550.020912917,9004689.915276214
10,AMD + TSLA + PGR + SCCO,Not rebalanced,AMD,Technology,Advanced Micro Devices Inc. Common Stock,Profit Engine,5,TSLA,Industrials,Tesla Inc. Common Stock,Profit Engine,5,PGR,Finance,Progressive Corporation (The) Common Stock,Recession Defense,5,SCCO,Basic Materials,Southern Copper Corporation Common Stock,Recession Defense,5,84.52566713606512,25.519389523572066,20.630155376170812,48.71987902930051,200.21776701018646,21.65085964492295,-31.221745777219656,75.50066984490955,18.685652278788247,38.06107256088782,2022,-31.221745777219656,2020,200.21776701018646,-36.28310587427957,24.867705000167994,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,9004606.333927324,9004606.333927324,8704606.333927324,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,414183.21768266347,491576.05353594257,862719.2667527504,593363.2505161131,721831.4950699094,2167066.3960751262,3222858.52272755,3887739.2435204065,4879866.564735153,9004606.333927324
