Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Stock 1 Top100 Uses,Stock 2,Sector 2,Name 2,Stock 2 Top100 Uses,Stock 3,Sector 3,Name 3,Stock 3 Top100 Uses,Stock 4,Sector 4,Name 4,Stock 4 Top100 Uses,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Annual Withdrawal ($),Target Withdrawals,Withdrawals Fully Funded,Full 10Y Withdrawal Goal,Depleted Year,Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),Max Ticker Repeats,Distinct Tickers in Top 100,Ranking Window Start,Ranking Window End,Ranking Source,Ranking Method,2016 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2025 Balance After Withdrawal ($)
1,PBR + DHR + NVDA + ANET,Not rebalanced,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,5,DHR,Industrials,Danaher Corporation Common Stock,5,NVDA,Technology,NVIDIA Corporation Common Stock,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,5,33.701604248048575,129.6892176711225,151.11534713271433,-34.916428876139825,97.51145666161236,61.28365199097403,40.56630876143854,-9.262761181489754,56.455655057434726,114.86710951211707,2022,-34.916428876139825,2023,151.11534713271433,300000.0,160000.0,10,10,Yes,,1600000.0,1556195.2550971769,3156195.255097177,2856195.255097177,5,82,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",484601.3285363512,598186.1829785795,382777.6254286043,378056.37882967445,449743.13436133054,728294.2159126564,313999.8840044735,628501.898714154,1283601.0942046908,1556195.2550971769
2,FCX + PBR + AMD + ANET,Not rebalanced,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,5,AMD,Technology,Advanced Micro Devices Inc. Common Stock,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,5,48.31483901661686,0.613091384293929,100.469508737591,-40.70488642327055,58.62558882517106,73.78203537303713,77.43548388424493,16.351392405115117,24.311315944010392,137.34685676037833,2022,-40.70488642327055,2016,137.34685676037833,300000.0,160000.0,10,10,Yes,,1600000.0,1293125.8190034488,2893125.819003449,2593125.819003449,5,82,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",552040.570281135,526248.8974612985,452297.91971278726,642537.0024407576,956613.8808664498,1357434.4013077263,644892.2699850138,1132812.365525656,979757.5405389098,1293125.8190034488
3,FCX + PBR + NVDA + ANET,Not rebalanced,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,5,NVDA,Technology,NVIDIA Corporation Common Stock,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,5,34.723693396212084,127.93394853085545,154.2245098911894,-33.84628083276813,101.42014058585431,69.62070202052698,37.259710951019365,-19.434815435704,60.80284216423861,120.30641370340969,2022,-33.84628083276813,2023,154.2245098911894,300000.0,160000.0,10,10,Yes,,1600000.0,1289982.551504401,2889982.551504401,2589982.551504401,5,82,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",500919.24111022905,645492.3766527836,360042.1245987757,334192.7795261885,406860.138734233,659498.2634262941,276282.62909980165,542378.1597434633,1076263.9554722665,1289982.551504401
4,PBR + DHR + AMD + ANET,Not rebalanced,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,5,DHR,Industrials,Danaher Corporation Common Stock,5,AMD,Technology,Advanced Micro Devices Inc. Common Stock,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,5,45.723188218649405,1.395085948314967,97.89397747876467,-41.451059458511175,57.201978862743715,68.01125843816409,78.04231537781352,31.035117975897,19.42766283691173,131.90755256908577,2022,-41.451059458511175,2016,131.90755256908577,300000.0,160000.0,10,10,Yes,,1600000.0,1247897.0713107246,2847897.0713107246,2547897.0713107246,5,82,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",535722.6577072573,479801.0493875658,468707.8711145888,674498.346090472,973233.1594112054,1369941.785542816,642086.4014704736,1110650.3187201894,966144.8452515702,1247897.0713107246
5,FCX + PBR + DHR + NVDA,Not rebalanced,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,5,DHR,Industrials,Danaher Corporation Common Stock,5,NVDA,Technology,NVIDIA Corporation Common Stock,5,35.58369091319869,124.56486790348946,138.08424310881296,-34.2887112963328,92.32875786892316,68.7492811895462,49.84008768201227,-16.55821596736865,42.16438839994512,132.4948544400277,2022,-34.2887112963328,2023,138.08424310881296,300000.0,160000.0,10,10,Yes,,1600000.0,1245183.9866446715,2845183.9866446713,2545183.9866446713,5,82,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",537484.5633200831,604111.6421881119,344081.5317905871,355572.0689326267,440025.31043460534,686295.2138677496,290973.4293440872,532761.8869016266,1036396.0275607756,1245183.9866446715
6,FCX + DHR + AMD + ANET,Not rebalanced,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,5,DHR,Industrials,Danaher Corporation Common Stock,5,AMD,Technology,Advanced Micro Devices Inc. Common Stock,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,5,50.63099648321816,0.9008503266912493,86.74213912834594,-42.86783704916714,59.78727359135634,85.8092402907932,85.07814263951488,13.168129910632032,29.442889376284565,121.83601699131819,2022,-42.86783704916714,2016,121.83601699131819,300000.0,160000.0,10,10,Yes,,1600000.0,1016537.8726638145,2616537.8726638146,2316537.8726638146,5,82,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",505508.0509739545,494344.2272104281,399440.11725520727,579276.349973038,916348.985069138,1304209.0598240402,585122.8452781959,932670.9178011448,781072.8868111107,1016537.8726638146
7,FCX + ISRG + DHR + AMD,Not rebalanced,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,5,DHR,Industrials,Danaher Corporation Common Stock,5,AMD,Technology,Advanced Micro Devices Inc. Common Stock,5,56.47119777292231,-9.88879640177327,78.87565555882554,-44.33381498806263,53.88812914276584,84.1190169527075,91.07596352552316,23.491698519077463,19.027223712022987,119.784818865748,2022,-44.33381498806263,2016,119.784818865748,300000.0,160000.0,10,10,Yes,,1600000.0,614764.1097551936,2214764.109755194,1914764.1097551938,5,82,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",499354.4565972439,434367.74616995815,376408.10756431636,559225.4183167052,869640.3427543838,1178273.2537354575,495899.769370554,727043.9633762826,495148.0660866189,614764.1097551936
8,NEM + ISRG + CAT + AMD,Not rebalanced,NEM,Basic Materials,Newmont Corporation,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,5,CAT,Industrials,Caterpillar Inc. Common Stock,5,AMD,Technology,Advanced Micro Devices Inc. Common Stock,5,69.66193766559212,-7.869051241095493,89.85127696767701,-46.030525739755525,47.186194464337646,78.00433150629249,85.30005309333978,28.578991208655104,20.72077251596958,110.85978162459824,2022,-46.030525739755525,2016,110.85978162459824,300000.0,160000.0,10,10,Yes,,1600000.0,398772.5133554273,1998772.5133554274,1698772.5133554274,5,82,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",472579.3448737947,410501.435882553,367818.60515483085,521568.0706390834,768413.7574913678,970998.9673919687,364043.03777384816,531140.3559255735,329344.64915565314,398772.5133554273
9,NEM + ISRG + DE + NVDA,Not rebalanced,NEM,Basic Materials,Newmont Corporation,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,5,DE,Industrials,Deere & Company Common Stock,5,NVDA,Technology,NVIDIA Corporation Common Stock,5,0.0,143.11747071514574,137.48775497417074,-37.72193442388275,82.02227201794861,81.02324406344516,44.10547749007756,-11.457073637917103,58.19389265124653,93.0276645238195,2022,-37.72193442388275,2024,143.11747071514574,300000.0,160000.0,10,8,No,2024,1320799.9197091958,0.0,1320799.9197091958,1020799.9197091958,5,82,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",419082.9935714585,502963.70097006345,285338.7793779302,251188.8104869253,294710.13346781145,376438.08080523927,74438.35481736413,16781.977695465554,0.0,0.0
10,NEM + ISRG + CAT + NVDA,Not rebalanced,NEM,Basic Materials,Newmont Corporation,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,5,CAT,Industrials,Caterpillar Inc. Common Stock,5,NVDA,Technology,NVIDIA Corporation Common Stock,5,0.0,0.0,151.9718461352677,-40.13020124816291,82.09259366103898,76.1735070921476,44.428965385103105,-14.133641721753854,61.88350106655489,93.81933856762954,2022,-40.13020124816291,2023,151.9718461352677,300000.0,160000.0,10,7,No,2023,1277818.4399905773,0.0,1277818.4399905773,977818.4399905773,5,82,2016,2025,annual_performance_160k_source.csv,"Rank by full withdrawals funded, then total cash delivered, then ending balance; greedily enforce max 5 Top-100 appearances per ticker.",421458.0157028886,522270.9913454668,288455.08061204635,256612.68852874357,292083.5730245367,371862.5537782137,62633.362580458546,0.0,0.0,0.0
