Symbol,Name,Sector,Industry,Type,MarketCap,Source,SourceSymbol
AAPL,Apple Inc.,Technology,Consumer Electronics,Stock,,Bootstrap; refresh via Nasdaq screener,AAPL
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,Stock,,Bootstrap; refresh via Nasdaq screener,AMD
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,Stock,,Bootstrap; refresh via Nasdaq screener,AMZN
AVGO,Broadcom Inc.,Technology,Semiconductors,Stock,,Bootstrap; refresh via Nasdaq screener,AVGO
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,Stock,,Bootstrap; refresh via Nasdaq screener,BAC
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,Stock,,Bootstrap; refresh via Nasdaq screener,CAT
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,Stock,,Bootstrap; refresh via Nasdaq screener,COST
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,Stock,,Bootstrap; refresh via Nasdaq screener,CVX
GE,GE Aerospace,Industrials,Aerospace & Defense,Stock,,Bootstrap; refresh via Nasdaq screener,GE
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,Stock,,Bootstrap; refresh via Nasdaq screener,GOOGL
HD,The Home Depot Inc.,Consumer Cyclical,Home Improvement Retail,Stock,,Bootstrap; refresh via Nasdaq screener,HD
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,Stock,,Bootstrap; refresh via Nasdaq screener,JPM
LIN,Linde plc,Basic Materials,Specialty Chemicals,Stock,,Bootstrap; refresh via Nasdaq screener,LIN
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,Stock,,Bootstrap; refresh via Nasdaq screener,LLY
META,Meta Platforms Inc.,Communication Services,Internet Content & Information,Stock,,Bootstrap; refresh via Nasdaq screener,META
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,Stock,,Bootstrap; refresh via Nasdaq screener,MSFT
NEE,NextEra Energy Inc.,Utilities,Utilities - Regulated Electric,Stock,,Bootstrap; refresh via Nasdaq screener,NEE
NVDA,NVIDIA Corporation,Technology,Semiconductors,Stock,,Bootstrap; refresh via Nasdaq screener,NVDA
PLD,Prologis Inc.,Real Estate,REIT - Industrial,Stock,,Bootstrap; refresh via Nasdaq screener,PLD
T,AT&T Inc.,Communication Services,Telecom Services,Stock,,Bootstrap; refresh via Nasdaq screener,T
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,Stock,,Bootstrap; refresh via Nasdaq screener,UNH
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,Stock,,Bootstrap; refresh via Nasdaq screener,WMT
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,Stock,,Bootstrap; refresh via Nasdaq screener,XOM
ACIO,ACIO,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,ACIO
AIRR,AIRR,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,AIRR
AOA,AOA,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,AOA
AOHY,AOHY,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,AOHY
APUE,APUE,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,APUE
AUSF,AUSF,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,AUSF
AVDE,AVDE,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,AVDE
AVDV,AVDV,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,AVDV
AVGE,AVGE,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,AVGE
AVGV,AVGV,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,AVGV
AVLV,AVLV,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,AVLV
AVSD,AVSD,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,AVSD
AVUS,AVUS,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,AVUS
AVUV,AVUV,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,AVUV
BBLU,BBLU,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,BBLU
BBRE,BBRE,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,BBRE
BKIE,BKIE,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,BKIE
BLCV,BLCV,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,BLCV
BLDG,BLDG,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,BLDG
BOAT,BOAT,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,BOAT
BSVO,BSVO,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,BSVO
CGDV,CGDV,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,CGDV
CGUS,CGUS,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,CGUS
COPJ,COPJ,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,COPJ
CSM,CSM,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,CSM
DBEF,DBEF,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,DBEF
DBJP,DBJP,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,DBJP
DFAI,DFAI,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,DFAI
DFAT,DFAT,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,DFAT
DFAU,DFAU,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,DFAU
DFIC,DFIC,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,DFIC
DFIS,DFIS,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,DFIS
