Symbol,Name,Sector,Industry,Type,MarketCap,Analyst Rating,Rating Source,Rating Updated ET,Source,SourceSymbol
NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,Stock,5482870500000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,NVDA
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,Stock,4730703447000.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,AAPL
GOOGL,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,Stock,4118697100000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,GOOGL
GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing,Stock,4074179900000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,GOOG
MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software,Stock,3671263946205.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,MSFT
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,Stock,2746626887974.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,AMZN
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors,Stock,2146357256947.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,TSM
SPCX,Space Exploration Technologies Corp. Class A Common Stock,Technology,Computer Software: Programming Data Processing,Stock,1910509014653.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,SPCX
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,Stock,1763825282607.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,AVGO
META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,Stock,1509295538064.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,META
TSLA,Tesla Inc. Common Stock,Industrials,Auto Manufacturing,Stock,1394407455189.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,TSLA
SKHY,SK hynix Inc. American Depositary Shares,Technology,Semiconductors,Stock,1178502626950.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,SKHY
BRK-A,Berkshire Hathaway Inc.,,,Stock,1118912156827.0,Not Rated,Nasdaq Stock Screener — no consensus rating returned,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,BRK/A
BRK-B,Berkshire Hathaway Inc.,,,Stock,1118632959768.0,Not Rated,Nasdaq Stock Screener — no consensus rating returned,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,BRK/B
LLY,Eli Lilly and Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,1101481901757.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,LLY
MU,Micron Technology Inc. Common Stock,Technology,Semiconductors,Stock,1064441750886.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,MU
JPM,JP Morgan Chase & Co. Common Stock,Finance,Major Banks,Stock,952401531807.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,JPM
WMT,Walmart Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,Stock,840659751696.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,WMT
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,Stock,747551133608.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,AMD
V,Visa Inc.,Consumer Discretionary,Business Services,Stock,677269568036.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,V
XOM,ExxonMobil Holdings Corporation Common Stock,Energy,Integrated oil Companies,Stock,671557461307.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,XOM
JNJ,Johnson & Johnson Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,660914690227.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,JNJ
ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components,Stock,646534278861.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,ASML
MA,Mastercard Incorporated Common Stock,Consumer Discretionary,Business Services,Stock,515098224770.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,MA
INTC,Intel Corporation Common Stock,Technology,Semiconductors,Stock,475315369007.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,INTC
ABBV,AbbVie Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,455739547802.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,ABBV
BAC,Bank of America Corporation Common Stock,Finance,Major Banks,Stock,440962711897.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,BAC
CSCO,Cisco Systems Inc. Common Stock (DE),Telecommunications,Computer Communications Equipment,Stock,429616378485.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,CSCO
CVX,Chevron Corporation Common Stock,Energy,Integrated oil Companies,Stock,419120360354.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,CVX
ORCL,Oracle Corporation Common Stock,Technology,Computer Software: Prepackaged Software,Stock,415162285230.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,ORCL
COST,Costco Wholesale Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,Stock,412785635975.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,COST
PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,Stock,400722571801.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,PLTR
KO,Coca-Cola Company (The) Common Stock,Consumer Staples,Beverages (Production/Distribution),Stock,380974385781.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,KO
MRK,Merck & Company Inc. Common Stock (new),Health Care,Biotechnology: Pharmaceutical Preparations,Stock,371259988086.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,MRK
CAT,Caterpillar Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks,Stock,361888249863.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,CAT
LRCX,Lam Research Corporation Common Stock,Technology,Industrial Machinery/Components,Stock,359585859165.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,LRCX
UNH,UnitedHealth Group Incorporated Common Stock (DE),Health Care,Medical Specialities,Stock,359379024842.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,UNH
HSBC,HSBC Holdings plc. Common Stock,Finance,Savings Institutions,Stock,358930281490.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,HSBC
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors,Stock,347790111408.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,AMAT
GE,GE Aerospace Common Stock,Technology,Consumer Electronics/Appliances,Stock,344107607436.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,GE
PG,Procter & Gamble Company (The) Common Stock,Consumer Discretionary,Package Goods/Cosmetics,Stock,342667921705.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,PG
NFLX,Netflix Inc. Common Stock,Consumer Discretionary,Consumer Electronics/Video Chains,Stock,342350792281.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,NFLX
MS,Morgan Stanley Common Stock,Finance,Investment Bankers/Brokers/Service,Stock,334907556106.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,MS
HD,Home Depot Inc. (The) Common Stock,Consumer Discretionary,RETAIL: Building Materials,Stock,318567286030.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,HD
NVS,Novartis AG Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,308061547816.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,NVS
PM,Philip Morris International Inc Common Stock,Health Care,Medicinal Chemicals and Botanical Products,Stock,293627185773.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,PM
GS,Goldman Sachs Group Inc. (The) Common Stock,Finance,Investment Bankers/Brokers/Service,Stock,292601059613.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,GS
DELL,Dell Technologies Inc. Class C Common Stock,Technology,Computer Manufacturing,Stock,291311579795.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,DELL
RY,Royal Bank Of Canada Common Stock,Finance,Commercial Banks,Stock,284804898250.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,RY
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,Finance,Commercial Banks,Stock,277763774083.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,MUFG
RTX,RTX Corporation Common Stock,Industrials,Aerospace,Stock,271910205552.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,RTX
WFC,Wells Fargo & Company Common Stock,Finance,Major Banks,Stock,271282980433.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,WFC
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,Consumer Discretionary,Business Services,Stock,271051960554.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,BABA
PANW,Palo Alto Networks Inc. Common Stock,Technology,Computer peripheral equipment,Stock,268461000000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,PANW
