Symbol,Name,Sector,Industry,Type,MarketCap,Price,NAV,Analyst Rating,Rating Source,Rating Updated ET,1D,1M,3M,6M,YTD,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,Since Inception,Short Buy,Long Buy,Fundamental Buy,Short Signal New,Long Signal New,Signal Reasons,Signal Updated ET,Snapshot Updated ET,Universe Source
SPY,SPDR S&P 500 ETF Trust,Broad Market,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
QQQ,Invesco QQQ Trust,Technology / Growth,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
VTI,Vanguard Total Stock Market ETF,Broad Market,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
DIA,SPDR Dow Jones Industrial Average ETF,Broad Market,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
IWM,iShares Russell 2000 ETF,Small Cap,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
XLK,Technology Select Sector SPDR Fund,Technology,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
XLF,Financial Select Sector SPDR Fund,Financial Services,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
XLE,Energy Select Sector SPDR Fund,Energy,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
XLV,Health Care Select Sector SPDR Fund,Healthcare,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
XLY,Consumer Discretionary Select Sector SPDR Fund,Consumer Cyclical,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
XLP,Consumer Staples Select Sector SPDR Fund,Consumer Defensive,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
XLI,Industrial Select Sector SPDR Fund,Industrials,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
XLU,Utilities Select Sector SPDR Fund,Utilities,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
XLRE,Real Estate Select Sector SPDR Fund,Real Estate,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
XLB,Materials Select Sector SPDR Fund,Basic Materials,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
XLC,Communication Services Select Sector SPDR Fund,Communication Services,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
SOXX,iShares Semiconductor ETF,Semiconductors,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
SMH,VanEck Semiconductor ETF,Semiconductors,ETF / Fund,ETF,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
AAPL,Apple Inc.,Technology,Consumer Electronics,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
NVDA,NVIDIA Corporation,Technology,Semiconductors,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
AVGO,Broadcom Inc.,Technology,Semiconductors,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
META,Meta Platforms Inc.,Communication Services,Internet Content & Information,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,Stock,,,,Not Rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,
