Symbol,Name,Sector,Industry,Type,MarketCap,Price,NAV,Analyst Rating,Rating Source,Rating Updated ET,Price Target High,Price Target Average,Price Target Low,Price Target Updated ET,Price Target Source,1D,1M,3M,6M,YTD,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,Since Inception,Short Buy,Long Buy,Fundamental Buy,Short Signal New,Long Signal New,Signal Reasons,Signal Updated ET,Short Signal Score,Long Signal Score,Return Basis,Snapshot Updated ET,Universe Source,History Verification,Verification Coverage,Verified Years,Verification Available Years,Verification Compared Years,Verification Discrepancies,Max Verification Diff (pp),Verification Tolerance (pp),Verification Exceptions,Verification Source,Verification Updated ET
NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,Stock,5551676000000.0,230.3600006103516,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 07, 2026 04:02:32 PM EDT",515.0,327.12808,180.0,"Sep 07, 2026 04:02:48 PM EDT",Yahoo Finance analyst consensus,0.836070775935327,2.857650341411655,12.315940397430802,29.7047403155571,23.668074945269638,38.916531676928166,171.24932285710318,239.0172109535737,-50.26465273700458,125.48213528686078,122.29566421927642,76.94304292472876,-30.815237155436115,81.98785954294301,226.960194642174,67.11554841521512,27.39582102024729,33.52387204196832,-10.973389668828592,-9.999986474670097,-17.558897448161126,131.4745722670181,-76.27865977734028,37.88172352207164,102.46136307530232,55.178721757529736,1.551707028393845,101.56288264833296,-82.79515574937845,308.35603970384693,,True,True,True,False,False,Short technical: price above 20-day average; 20-day average above 50-day average; MACD above signal line; RSI in bullish 50-70 zone; 1-month momentum positive; 3-month momentum positive | Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive,"Sep 07, 2026 04:02:48 PM EDT",6,6,Adjusted total return,"Sep 07, 2026 04:02:48 PM EDT",Nasdaq Stock Screener,,,,,,,,,,,
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,Stock,4669699774600.0,319.9700012207031,,Buy,Nasdaq Stock Screener analyst consensus,"Sep 07, 2026 04:02:32 PM EDT",400.0,323.85947,215.0,"Sep 07, 2026 04:02:48 PM EDT",Yahoo Finance analyst consensus,-2.5105848234065142,2.2072458046372034,4.19924432325649,24.501295505983546,18.01697769707453,9.052613334426615,30.705251358751795,49.008055864801904,-26.40420026704947,34.64819029783344,82.30676563881228,88.95775328356667,-5.390212763657532,48.46438005233353,12.480410512335371,-3.01369218481663,40.6225071697891,8.069527713071212,32.56692329924136,25.55798090526413,53.067914939640495,146.90109731235012,-56.9113660770906,133.47479161547977,18.01359832763567,123.26094181385407,201.35720098732995,49.12754174516682,-34.566102927225884,47.226735011731535,,True,True,False,False,False,Short technical: price above 20-day average; MACD above signal line; RSI in bullish 50-70 zone; 1-month momentum positive; 3-month momentum positive | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive | Consensus confirmation: Nasdaq Buy,"Sep 07, 2026 04:02:48 PM EDT",5,6,Adjusted total return,"Sep 07, 2026 04:02:48 PM EDT",Nasdaq Stock Screener,,,,,,,,,,,
GOOGL,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,Stock,4139365800000.0,338.4599914550781,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 07, 2026 04:02:32 PM EDT",515.0,428.06668,340.0,"Sep 07, 2026 04:02:48 PM EDT",Yahoo Finance analyst consensus,-1.110272366657461,-4.409379771706234,-8.045523475192418,13.599898636789788,8.344525340371177,65.993604124806,36.005600086718424,58.32482212000618,-39.08955563543092,65.29578476887605,30.8536108786043,28.176167001501163,-0.8011930705745129,32.92949991913612,1.856027836111207,46.61177088884179,-5.39402287903572,58.43113359252903,9.51849030351295,8.742873757297719,-4.195310985040635,101.52122635979536,-55.50846396763296,50.16499582184362,10.996488271658222,115.1874942130184,,,,,,False,True,True,False,False,Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive,"Sep 07, 2026 04:02:48 PM EDT",0,6,Adjusted total return,"Sep 07, 2026 04:02:48 PM EDT",Nasdaq Stock Screener,,,,,,,,,,,
GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing,Stock,4100841300000.0,335.3099975585937,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 07, 2026 04:02:32 PM EDT",475.0,422.336,340.0,"Sep 07, 2026 04:02:48 PM EDT",Yahoo Finance analyst consensus,-1.047626732700735,-5.076047581898557,-8.210409077709691,12.626937296757834,7.06378435853352,65.41777049107927,35.61648462050984,58.83013275789204,-38.67133814150934,65.17054667132432,31.028741907618794,29.104571904316234,-1.0311638908855336,35.57567057473958,1.7051365596034709,44.55994253671192,-5.965606328724671,58.43107229687101,9.518522532435991,8.742858745562621,-4.195292095176562,101.52119091042036,-55.50847419729899,50.16504254239717,10.996488877563523,115.18745737691292,,,,,,False,True,True,False,False,Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive,"Sep 07, 2026 04:02:48 PM EDT",0,6,Adjusted total return,"Sep 07, 2026 04:02:48 PM EDT",Nasdaq Stock Screener,,,,,,,,,,,
MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software,Stock,3710545081853.0,499.7000122070313,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 07, 2026 04:02:32 PM EDT",870.0,572.91516,400.0,"Sep 07, 2026 04:02:48 PM EDT",Yahoo Finance analyst consensus,-2.042653299203168,0.1301482729012981,20.15280836479112,22.683156318476595,3.980439636977784,15.584245813147655,12.92731189697658,58.1912920384059,-28.02477524664828,52.476970474158826,42.53408171078175,57.55807429201638,20.795289561415853,40.730630971382965,15.077729219268686,22.691866579548424,27.564588846826844,44.29801469879604,5.798878129857665,-4.515686965809174,-6.524640766957046,60.46725129644604,-44.38563495486295,20.84291752482137,15.83933746854067,-0.938241335322032,9.128176264056044,6.816457238351759,-21.962307109868995,52.73779992804928,,True,True,True,False,False,Short technical: price above 20-day average; 20-day average above 50-day average; RSI in bullish 50-70 zone; 1-month momentum positive; 3-month momentum positive | Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive,"Sep 07, 2026 04:02:48 PM EDT",5,6,Adjusted total return,"Sep 07, 2026 04:02:48 PM EDT",Nasdaq Stock Screener,,,,,,,,,,,
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,Stock,2788369921498.0,258.510009765625,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 07, 2026 04:02:32 PM EDT",405.0,328.1707,230.0,"Sep 07, 2026 04:02:48 PM EDT",Yahoo Finance analyst consensus,-0.1506311858065601,-5.818274767374076,5.072556618399782,21.246658986579117,11.996361477673734,5.209903808910643,44.39252064264869,80.88095528738839,-49.61521476592685,2.3767773568753814,76.25606069163975,23.02774950420645,28.43168959316702,55.95636491351448,10.945572452950517,117.78313909946104,-22.177089223200863,58.96281654730438,44.927791260464375,-3.833336300320101,33.80910235792649,162.3244975565349,-44.64594326049557,134.76937927307594,-16.309650657883555,6.457445431805176,-15.830485933485294,178.56008056503055,74.58410611874172,-30.473893414139557,,False,True,True,False,False,Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive,"Sep 07, 2026 04:02:48 PM EDT",2,6,Adjusted total return,"Sep 07, 2026 04:02:48 PM EDT",Nasdaq Stock Screener,,,,,,,,,,,
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors,Stock,2224543818375.0,428.9100036621094,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 07, 2026 04:02:32 PM EDT",700.0,552.3783,440.0,"Sep 07, 2026 04:02:48 PM EDT",Yahoo Finance analyst consensus,2.8536470630939004,2.1117024418493946,3.5514222649818628,27.217043806419696,41.86903837084604,55.949510877376255,92.58245693494985,42.32973300436751,-36.74844261974622,12.094635264856212,92.66832596898507,64.84188297675753,-3.505808822753853,42.406657508025766,31.116876972661544,4.884577399667522,31.21341470071288,4.466413455177509,37.70757232416669,7.294194591575653,15.072303220330618,52.60927869155563,-16.431745611613067,-4.905755174527404,18.72609773746108,26.945390011721603,-4.402193216125028,56.86806369351574,-54.83400946719856,39.35073961007465,,True,True,True,False,False,Short technical: price above 20-day average; MACD above signal line; RSI in bullish 50-70 zone; 1-month momentum positive; 3-month momentum positive | Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive,"Sep 07, 2026 04:02:48 PM EDT",5,6,Adjusted total return,"Sep 07, 2026 04:02:48 PM EDT",Nasdaq Stock Screener,,,,,,,,,,,
SPCX,Space Exploration Technologies Corp. Class A Common Stock,Technology,Computer Software: Programming Data Processing,Stock,2008098959419.0,147.9499969482422,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 07, 2026 04:02:32 PM EDT",450.0,222.3158,117.0,"Sep 07, 2026 04:02:48 PM EDT",Yahoo Finance analyst consensus,-1.1954110319593814,11.1486712266881,-8.077042712949222,,-8.077042712949222,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,Short technical: price above 20-day average; 20-day average above 50-day average; MACD above signal line; RSI in bullish 50-70 zone; 1-month momentum positive | Fundamental/consensus: Nasdaq Strong Buy,"Sep 07, 2026 04:02:48 PM EDT",5,0,Adjusted total return,"Sep 07, 2026 04:02:48 PM EDT",Nasdaq Stock Screener,,,,,,,,,,,
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,Stock,1702714164963.0,357.8999938964844,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 07, 2026 04:02:32 PM EDT",715.0,533.4087,215.88,"Sep 07, 2026 04:02:48 PM EDT",Yahoo Finance analyst consensus,0.2071873185092387,-16.331591143224866,-7.068045111947829,8.695950775500162,3.790349223554812,50.63297644471103,110.49289885300038,104.18426313695905,-13.269646220412955,56.48483209587767,44.88006189082032,29.05164943649674,3.6219521634218266,48.18606933678336,23.64565581855957,46.03696608161864,93.21695621594326,70.74381614757834,11.592336334559183,2.852795204566472,55.74380052853296,,,,,,,,,,,False,True,True,False,False,Fundamental/consensus: Nasdaq Strong Buy,"Sep 07, 2026 04:02:48 PM EDT",0,5,Adjusted total return,"Sep 07, 2026 04:02:48 PM EDT",Nasdaq Stock Screener,,,,,,,,,,,
META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,Stock,1571225414393.0,616.77001953125,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 07, 2026 04:02:32 PM EDT",1000.0,754.77405,580.0,"Sep 07, 2026 04:02:48 PM EDT",Yahoo Finance analyst consensus,0.99725337795733,4.166533518414561,4.104828038648711,-4.185369029352004,-6.396062787100409,13.093112131989182,66.04889388587681,194.13326872985084,-64.22179413381797,23.13293489567778,33.08650880306077,56.57182961621836,-25.711218422701062,53.3767894613014,9.927390207462118,34.14509130069921,42.76303582610772,105.29676284602864,,,,,,,,,,,,,,True,True,True,False,False,Short technical: price above 20-day average; MACD above signal line; RSI in bullish 50-70 zone; 1-month momentum positive; 3-month momentum positive | Fundamental/consensus: Nasdaq Strong Buy,"Sep 07, 2026 04:02:48 PM EDT",5,2,Adjusted total return,"Sep 07, 2026 04:02:48 PM EDT",Nasdaq Stock Screener,,,,,,,,,,,
