Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Stock 2,Sector 2,Name 2,Stock 3,Sector 3,Name 3,Stock 4,Sector 4,Name 4,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Best Year,Best Year %,2016 Ending Balance ($),2017 Ending Balance ($),2018 Ending Balance ($),2019 Ending Balance ($),2020 Ending Balance ($),2021 Ending Balance ($),2022 Ending Balance ($),2023 Ending Balance ($),2024 Ending Balance ($),2025 Ending Balance ($),Starting Value ($),Monthly Withdrawal ($),Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),Positive Months,Months Funded,HWM Excluded,Monthly Return Method,Monthly Data Start,Monthly Data End
1,PBR + TSLA + NVDA + ANET,Not rebalanced monthly,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,32.07683023342345,127.02638698564482,165.77068209248807,-46.22780452461433,85.31809741767924,141.97692994515057,36.883851984175095,-11.063149907777259,63.35470633083307,93.85737958891622,2022,-46.22780452461433,2023,165.77068209248807,489026.39781641983,722724.9101670049,596300.8043651478,746950.314173371,1705031.7792053716,3070540.987724052,1605075.038084046,4184743.8753119363,9421427.487998385,12369076.167497003,300000.0,5000.0,600000.0,12369076.167497005,12969076.167497005,12669076.167497005,77,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
2,NEM + TSLA + NVDA + ANET,Not rebalanced monthly,NEM,Basic Materials,Newmont Corporation,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,35.18792438622611,136.4369909259303,161.55863716974844,-49.60754198625396,82.4997498636199,168.92931430540918,39.591554465104494,-17.71444313635162,69.52467586100965,82.6025520654288,2022,-49.60754198625396,2020,168.92931430540918,464195.21238259936,710652.038085187,539447.6081971579,681347.2508505657,1732764.6588067764,3074741.148019632,1504410.3195033027,3855189.5489085065,9034914.57589734,12138437.501787681,300000.0,5000.0,600000.0,12138437.501787681,12738437.501787681,12438437.501787681,78,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
3,FCX + TSLA + NVDA + ANET,Not rebalanced monthly,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,33.57992141340931,130.41623844491843,152.3029889067086,-47.41824375455506,87.38226094202051,183.0887633676792,39.855979407759065,-25.447041891478616,77.85066419130288,83.78584915591374,2022,-47.41824375455506,2020,183.0887633676792,462369.49213881616,742617.2861297389,510815.4872179461,642863.9053889373,1711590.2148339234,3119796.636345524,1593908.5033655164,3942374.2052368633,9004630.929342413,11953137.852588926,300000.0,5000.0,600000.0,11953137.852588926,12553137.852588926,12253137.852588926,77,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
4,AEM + TSLA + NVDA + ANET,Not rebalanced monthly,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,34.91525432305471,138.48539556228937,167.0151813093906,-49.62474317759607,81.78336035536353,166.02049618085402,43.78482623616251,-18.814420200188664,71.92142750437958,75.43772691745649,2022,-49.62474317759607,2023,167.0151813093906,444105.3837792112,687568.6197359643,513096.0239880944,665914.5212011901,1669861.9056684996,2947721.3256796794,1439653.572707333,3763803.312510415,8895659.68484023,11926236.874833688,300000.0,5000.0,600000.0,11926236.874833688,12526236.874833688,12226236.874833688,76,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
5,NEM + PBR + NVDA + ANET,Not rebalanced monthly,NEM,Basic Materials,Newmont Corporation,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,36.47780724103491,134.25381921831257,164.38922520893203,-36.17363154926292,94.48566123325044,61.354712898338605,37.129143860693034,-12.022052003993167,53.77243082072385,119.12316780546108,2022,-36.17363154926292,2023,164.38922520893203,568532.4373426905,798624.869816845,655971.2553644271,831676.617512855,1264139.8024617385,2368607.332702508,1457882.6595026518,3771617.2279127985,8759003.998282291,11879369.459500428,300000.0,5000.0,600000.0,11879369.459500426,12479369.459500426,12179369.459500426,76,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
6,ISRG + TSLA + NVDA + ANET,Not rebalanced monthly,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,32.565160400035474,135.925324955452,159.83967479041075,-49.23607557272071,83.62536090781802,162.77320058315178,37.32709577381335,-11.709608958540796,87.05125556678448,64.10689838305,2022,-49.23607557272071,2020,162.77320058315178,406680.6102811539,682084.8198777016,556216.8066420194,693455.7867630655,1720182.6529658618,3070700.3715352346,1512697.8455042583,3850493.58712455,9004099.29730623,11861560.200203026,300000.0,5000.0,600000.0,11861560.200203028,12461560.200203028,12161560.200203028,80,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
7,FCX + PBR + NVDA + ANET,Not rebalanced monthly,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,34.72371129150111,127.9339396864724,154.22451985405127,-33.84627660645646,101.42012454217806,69.62069992500071,37.25972393487969,-19.4348056424243,60.8028119845335,120.30646489594572,2022,-33.84627660645646,2023,154.22451985405127,566802.4014087948,832602.6068915606,626405.6766503863,792190.4254476973,1258394.5283721518,2444948.8971379222,1561962.6023922833,3888933.008339787,8788878.54812357,11766421.592857193,300000.0,5000.0,600000.0,11766421.592857193,12366421.592857193,12066421.592857193,75,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
8,NEM + PBR + TSLA + NVDA,Not rebalanced monthly,NEM,Basic Materials,Newmont Corporation,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,35.368543800735154,128.10140572673419,163.09699666876574,-48.16687838495087,76.47006024360753,141.74212729280154,46.0528238724707,-10.310281002746946,39.66608588831954,110.30183514572487,2022,-48.16687838495087,2023,163.09699666876574,545123.158474888,690852.7413198825,572125.7780796927,760257.793779606,1737840.965746474,2980682.118883497,1500348.2455862914,3867601.207909148,8743629.684679976,11760906.258071002,300000.0,5000.0,600000.0,11760906.258071002,12360906.258071002,12060906.258071002,73,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
9,PBR + DHR + NVDA + ANET,Not rebalanced monthly,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,DHR,Industrials,Danaher Corporation Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,33.70162242012498,129.689213781863,151.11535839066033,-34.916423587359525,97.51145484012595,61.28365159688893,40.56630692692573,-9.262749036395835,56.45563379862843,114.86713995721925,2022,-34.916423587359525,2023,151.11535839066033,548739.1698254866,782641.7743590081,662998.0916928124,864705.0420948789,1315339.1695244682,2507989.4343231893,1577543.5654391653,3879352.177212618,8834905.075418804,11738397.648532001,300000.0,5000.0,600000.0,11738397.648532003,12338397.648532003,12038397.648532003,77,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
10,PBR + ISRG + NVDA + ANET,Not rebalanced monthly,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,33.6179095886358,133.77566742179465,162.4300641164482,-36.18462020353156,95.72498926261794,60.164087939779655,35.29511900840765,-6.465070649432281,66.6564291949804,100.62751412308218,2022,-36.18462020353156,2023,162.4300641164482,511024.47866818024,774098.2878398246,676846.4500607717,848771.9202902382,1278865.8337571286,2412512.4204632645,1484282.8876479133,3811989.3357817773,8835228.629853196,11731687.079325521,300000.0,5000.0,600000.0,11731687.07932552,12331687.07932552,12031687.07932552,77,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
