Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Stock 2,Sector 2,Name 2,Stock 3,Sector 3,Name 3,Stock 4,Sector 4,Name 4,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Annual Withdrawal ($),Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),2016 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2025 Balance After Withdrawal ($)
1,PBR + TSLA + NVDA + ANET,Not rebalanced,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,32.076813306772806,127.02639265355813,165.77067941962284,-46.227810038264984,85.3181011363183,141.9769519963295,36.8838490639873,-11.063168168903218,63.354741655865745,93.85733611576309,2022,-46.227810038264984,2023,165.77067941962284,300000.0,85000.0,850000.0,10949792.632480077,11799792.632480077,11499792.632480077,496572.0083472893,726173.9213710586,560836.0792510593,682694.0122184042,1566962.1622275435,2818864.524564679,1430765.1869128777,3717554.358157792,8354829.554260772,10949792.63248008
2,PBR + DHR + NVDA + ANET,Not rebalanced,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,DHR,Industrials,Danaher Corporation Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,33.701604248048596,129.68921767112244,151.11534713271436,-34.91642887613985,97.51145666161233,61.283651990974086,40.5663087614385,-9.26276118148976,56.455655057434726,114.86710951211707,2022,-34.91642887613985,2023,151.11534713271436,300000.0,85000.0,850000.0,10467128.416901546,11317128.416901546,11017128.416901546,559601.3285363512,790527.9242716555,632303.2105733838,803805.2832830714,1211406.5157753322,2307666.655401543,1416911.8689698682,3473083.1583283157,7892297.53543182,10467128.416901544
3,FCX + PBR + NVDA + ANET,Not rebalanced,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,34.72369339621214,127.93394853085547,154.22450989118937,-33.84628083276813,101.42014058585436,69.62070202052699,37.25971095101938,-19.434815435704,60.80284216423865,120.30641370340969,2022,-33.84628083276813,2023,154.22450989118937,300000.0,85000.0,850000.0,10405617.636160083,11255617.636160083,10955617.636160083,575919.241110229,841094.5082759624,592629.342952687,728441.3231477833,1150587.2861308856,2232514.529287796,1391891.3920726972,3453529.069714467,7786765.172261105,10405617.636160081
4,PBR + ISRG + NVDA + ANET,Not rebalanced,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,33.617891657589524,133.7756754977334,162.43006035186653,-36.18462577352822,95.72499643770233,60.16409053874748,35.295116073399974,-6.465087909902377,66.65646404341385,100.62747064992882,2022,-36.18462577352822,2023,162.43006035186653,300000.0,85000.0,850000.0,10356993.230114413,11206993.230114413,10906993.230114413,516882.4119497865,776417.9510178261,641221.8479362609,782541.8434533646,1168351.0266522304,2201755.005294937,1320058.1961790374,3379229.5209124084,7814816.639131803,10356993.230114412
5,PBR + CAT + NVDA + ANET,Not rebalanced,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,CAT,Industrials,Caterpillar Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,35.538255029128976,132.1002361851256,162.6541550953805,-33.46043113943299,97.25031222620785,59.503075664112956,35.19796031319141,-13.909636444322787,67.25499373122602,107.12536160829573,2022,-33.46043113943299,2023,162.6541550953805,300000.0,85000.0,850000.0,10333312.259508997,11183312.259508997,10883312.259508997,536376.0848248872,812115.7870496605,614153.433564102,745322.915372097,1103812.9736479286,2092274.536913928,1307190.4562419527,3348390.0483297505,7686621.210572591,10333312.259508999
6,NEM + PBR + NVDA + ANET,Not rebalanced,NEM,Basic Materials,Newmont Corporation,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,36.47778961747633,134.25382686128668,164.38922395644903,-36.17363830714797,94.48567051264588,61.35471315112859,37.1291409497097,-12.02206198552076,53.77245010662751,119.12312436608133,2022,-36.17363830714797,2023,164.38922395644903,300000.0,85000.0,850000.0,10286871.683829488,11136871.683829488,10836871.683829488,572369.373098244,795146.4086731137,614553.4145467897,757731.818045121,1137636.0014615369,2127539.005435724,1272930.740765912,3280491.7070140727,7599677.363547614,10286871.683829485
7,FCX + TSLA + NVDA + ANET,Not rebalanced,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,33.57990506435508,130.41623996415947,152.3029839779586,-47.41824786065539,87.38226860020364,183.0887796890304,39.85596041890149,-25.447042875313308,77.85069887407273,83.78580053799557,2022,-47.41824786065539,2020,183.0887796890304,300000.0,85000.0,850000.0,10278557.045687728,11128557.045687728,10828557.045687728,466357.4016139867,744419.8980214414,469987.0473995616,572304.8989850946,1535130.9546374425,2791563.208783603,1382852.847255729,3403978.997650366,7758320.415555659,10278557.045687728
8,PBR + DE + NVDA + ANET,Not rebalanced,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,DE,Industrials,Deere & Company Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,33.968509495420726,130.19164963190357,149.11191635249875,-31.271462852008884,96.72299040525685,64.20439705990354,34.93517235996691,-11.486157753166268,63.823930037983935,106.33368756448567,2022,-31.271462852008884,2023,149.11191635249875,300000.0,85000.0,850000.0,10237460.762158042,11087460.762158042,10787460.762158042,534001.062693457,789821.5273490195,614101.3807492439,743638.7565789288,1136087.5365441937,2149945.375511153,1392626.0060697002,3384197.3313434958,7705139.66381845,10237460.76215805
9,NEM + TSLA + NVDA + ANET,Not rebalanced,NEM,Basic Materials,Newmont Corporation,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,35.18790827428623,136.43699066069246,161.55864028428485,-49.607547723654356,82.4997535882411,168.9293219450994,39.591547537673094,-17.714443804075746,69.52469658573385,82.60251120066717,2022,-49.607547723654356,2020,168.9293219450994,300000.0,85000.0,850000.0,10210344.232730951,11060344.232730951,10760344.232730951,462807.5336020015,699573.0671147113,490647.58927222644,599902.5628213868,1528313.8945268295,2704169.091566315,1277697.118939245,3256927.2112489706,7615580.686286278,10210344.232730951
10,PBR + PH + NVDA + ANET,Not rebalanced,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,PH,Industrials,Parker-Hannifin Corporation Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,34.88104375234297,132.9317720650161,169.92680790498324,-35.2520106023609,97.62106088420018,60.95544445115978,38.77833142218161,-14.834555965841767,61.976254405266,108.49222531991913,2022,-35.2520106023609,2023,169.92680790498324,300000.0,85000.0,850000.0,10195688.930876596,11045688.930876596,10745688.930876596,540476.6759597574,790443.8756537016,588185.0365412845,731273.3793869436,1092024.317945271,2073070.0422368958,1257271.1711531775,3308711.9390033702,7622041.352047305,10195688.9308766
11,ISRG + TSLA + NVDA + ANET,Not rebalanced,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,32.565144027674066,135.9253253408024,159.8396755222473,-49.236080504829516,83.62536328538013,162.77321157945067,37.32708923698432,-11.709616929570501,87.05129643764016,64.10685748451469,2022,-49.236080504829516,2020,162.77321157945067,300000.0,85000.0,850000.0,10172582.230565842,11022582.230565842,10722582.230565842,407320.57245354407,676898.4114315715,512636.2004505864,618988.3724538627,1541535.6256003869,2745650.3926822683,1308799.754960059,3315781.036524185,7737767.198008313,10172582.230565839
12,PBR + PGR + NVDA + ANET,Not rebalanced,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,PGR,Finance,Progressive Corporation (The) Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,32.99795939106595,132.95687694176587,159.178324464735,-32.43592726239073,95.04649148164572,61.59569019537264,36.18234186741049,-9.952171821419158,65.06272748459935,100.32394784333478,2022,-32.43592726239073,2023,159.178324464735,300000.0,85000.0,850000.0,10139601.1829141,10989601.1829141,10689601.1829141,515971.8435300044,766677.1979831944,605376.1659242649,739415.4398628048,1109863.48345745,2079749.7847197317,1320163.6573083117,3336578.047204048,7687788.0154911075,10139601.182914099
