Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Stock 2,Sector 2,Name 2,Stock 3,Sector 3,Name 3,Stock 4,Sector 4,Name 4,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Best Year,Best Year %,2016 Ending Balance ($),2017 Ending Balance ($),2018 Ending Balance ($),2019 Ending Balance ($),2020 Ending Balance ($),2021 Ending Balance ($),2022 Ending Balance ($),2023 Ending Balance ($),2024 Ending Balance ($),2025 Ending Balance ($),Starting Value ($),Monthly Withdrawal ($),Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),Positive Months,Months Funded,HWM Excluded,Monthly Return Method,Monthly Data Start,Monthly Data End
1,PBR + TSLA + NVDA + ANET,Rebalanced monthly,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,22.230378647702942,79.85920497661161,136.4362640506625,-25.77028632643048,76.37682731054088,143.82376406027936,33.48057137812821,3.339393479070618,66.70417073291985,86.18373784695301,2022,-25.77028632643048,2020,143.82376406027936,469326.3872145294,707879.4529643349,677870.7780903053,833835.5179353594,1929095.465516825,3313033.807538662,2408488.8667068593,5613520.475213883,10015536.25491258,12170461.728822045,300000.0,5000.0,600000.0,12170461.728822045,12770461.728822045,12470461.728822045,84,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
2,FCX + TSLA + NVDA + ANET,Rebalanced monthly,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,31.84848032086518,77.26988171160671,108.30251397679449,-35.84511299992636,90.04799855678974,203.71876298297823,34.22714272749301,-17.66007613891495,85.51610186028032,78.18110021075226,2022,-35.84511299992636,2020,203.71876298297823,448652.80092108063,752749.1624277164,571487.9271945443,693794.6710461349,1990170.0759481674,3695302.2223739633,2319686.858801418,4755882.239601681,8351986.948389129,10935303.978313887,300000.0,5000.0,600000.0,10935303.978313887,11535303.978313887,11235303.978313887,83,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
3,AEM + TSLA + NVDA + ANET,Rebalanced monthly,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,49.129634623350405,99.14401690646768,107.98229468601943,-34.28799514486014,58.206410592195,166.86340643961182,42.545351743399216,-6.187184882692309,70.03101299721084,66.06029455570955,2022,-34.28799514486014,2020,166.86340643961182,418917.0463829631,639203.3809396476,546208.9426510829,704242.4327794401,1778915.115109577,2732459.62575855,1744177.9813928478,3551308.533244506,6986878.457406278,10341917.729587073,300000.0,5000.0,600000.0,10341917.729587073,10941917.729587073,10641917.729587073,83,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
4,PBR + TSLA + AMD + ANET,Rebalanced monthly,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,AMD,Technology,Advanced Micro Devices Inc. Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,32.49431877868909,32.511388875518875,114.90636143180062,-26.98895504692157,61.08723139480738,135.37533357065521,47.146643337931835,36.79802326659398,40.92492507270167,95.13728863044848,2022,-26.98895504692157,2020,135.37533357065521,493140.9701089363,628814.4329111421,795407.5316263346,1096987.1254566729,2477287.75059368,3903025.587876914,2799910.936009079,5935552.24234285,7794130.2166572055,10250323.443819564,300000.0,5000.0,600000.0,10250323.443819564,10850323.443819564,10550323.443819564,86,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
5,NEM + TSLA + NVDA + ANET,Rebalanced monthly,NEM,Basic Materials,Newmont Corporation,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,57.37761819081819,79.27097197452491,98.39995709906684,-37.34577765600079,71.29808451629248,176.07809860547357,35.90048632585236,-5.813436340704781,69.70407234717293,72.84001118534222,2022,-37.34577765600079,2020,176.07809860547357,437604.0559269928,668662.0237840293,577020.7873410714,710455.877466134,1862879.9960980795,3106103.289861207,1896883.782458011,3689212.840153072,6533168.288465261,10199914.034248553,300000.0,5000.0,600000.0,10199914.034248553,10799914.034248553,10499914.034248553,84,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
6,LLY + TSLA + NVDA + ANET,Rebalanced monthly,LLY,Health Care,Eli Lilly and Company Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,34.91994674158192,93.7559009511385,127.8612715327169,-29.163187613763263,89.27949802817257,171.90580604907063,31.562615710260864,3.9348744824755366,71.878637782674,39.893164344669984,2022,-29.163187613763263,2020,171.90580604907063,340914.52606569394,512436.54224576656,476824.9898606936,554826.2788344508,1408495.976380115,2577778.3637479143,1773686.0132405998,3961505.5883731707,7594420.671125915,10169119.82049675,300000.0,5000.0,600000.0,10169119.82049675,10769119.82049675,10469119.82049675,81,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
7,PBR + LLY + TSLA + NVDA,Rebalanced monthly,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,LLY,Health Care,Eli Lilly and Company Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,29.507473363818004,65.98626813071103,126.00440308022019,-15.192538798841781,69.81397197999735,137.90107108221804,38.80414108198351,16.056559013060422,37.81651525581999,70.86717954182721,2022,-15.192538798841781,2020,137.90107108221804,429907.5034913356,525087.697017184,550044.1842270566,686747.7131925918,1532870.1803379534,2519046.7558624074,2083366.7111326617,4628504.693406437,7608072.254703582,9779776.385751167,300000.0,5000.0,600000.0,9779776.385751167,10379776.385751167,10079776.385751167,83,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
8,FCX + PBR + TSLA + NVDA,Rebalanced monthly,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,26.739641903616686,51.656973802758245,105.38423347908252,-23.052877944404504,71.01481709781143,158.8587960859249,41.98646581067278,-7.7044433599940625,47.458261952714544,114.71228132033397,2022,-23.052877944404504,2020,158.8587960859249,553737.9666584134,743762.8646380187,635002.1171775202,823987.6938888857,2015540.6309777647,3363937.383177215,2536860.7531927074,5134598.945035596,7714608.542125189,9704642.818512078,300000.0,5000.0,600000.0,9704642.818512078,10304642.818512078,10004642.818512078,79,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
9,PGR + TSLA + NVDA + ANET,Rebalanced monthly,PGR,Finance,Progressive Corporation (The) Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,22.509890253697762,99.56825658258856,112.3269023562178,-30.179210571430847,71.20287652449812,175.63642718278584,34.73891503286606,-2.548968426991327,85.63193589127162,48.30061123155753,2022,-30.179210571430847,2020,175.63642718278584,364442.33560194337,599090.2506044988,531545.1121951301,646146.7855074675,1680388.3881797432,2791446.6292104255,1897607.4122234595,3952114.601409558,7803426.294756722,9489639.859475523,300000.0,5000.0,600000.0,9489639.859475523,10089639.859475523,9789639.859475523,86,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
10,FCX + TSLA + AMD + ANET,Rebalanced monthly,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,AMD,Technology,Advanced Micro Devices Inc. Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,43.027676624001664,30.774858875342904,88.84338181428957,-36.6370729036299,73.60527562789179,193.76973682492232,48.73087928711941,8.2784413490808,57.25155827577695,88.26592943546281,2022,-36.6370729036299,2020,193.76973682492232,475732.20133974723,677610.8836601212,675938.1521779601,929512.5408626292,2612665.159138956,4450644.055190538,2770000.507623212,5154231.837651581,6671295.892359515,9459984.601143945,300000.0,5000.0,600000.0,9459984.601143945,10059984.601143945,9759984.601143945,81,120,True,Actual adjusted month-end return from Yahoo/yfinance daily history,2016-01,2025-12
