Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Stock 2,Sector 2,Name 2,Stock 3,Sector 3,Name 3,Stock 4,Sector 4,Name 4,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Annual Withdrawal ($),Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),2016 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2025 Balance After Withdrawal ($)
1,PBR + TSLA + NVDA + ANET,Rebalanced annually,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,16.941871288067954,79.81032791977321,130.99862139323042,-18.4119897259016,73.38773372613028,219.9265186110535,30.72750740630365,-1.7008095634540434,68.22832153247928,93.85733611576309,2022,-18.4119897259016,2020,219.9265186110535,300000.0,85000.0,850000.0,15189269.804255942,16039269.804255942,15739269.804255942,496572.0083472893,750374.7548427677,652612.3092506571,768143.804910102,2372495.732975372,4028616.584155141,3201868.1125845285,7311271.198899708,13061420.7178455,15189269.804255925
2,PBR + TSLA + AMD + ANET,Rebalanced annually,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,AMD,Technology,Advanced Micro Devices Inc. Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,26.537602965289516,32.48338822801845,103.14180442584909,-19.593221488714324,56.24411828331659,214.34715591168546,48.59900466679019,25.895997936039223,45.394481052624556,110.8977791727318,2022,-19.593221488714324,2020,214.34715591168546,300000.0,85000.0,850000.0,13834045.256742598,14684045.256742598,14384045.256742598,547693.3375181954,711315.8858443797,810518.2329613593,1119422.0268234357,3433871.3039684147,5280221.941869276,4160656.361703136,8367032.409122633,10999928.029742062,13834045.256742604
3,PBR + LLY + TSLA + NVDA,Rebalanced annually,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,LLY,Health Care,Eli Lilly and Company Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,22.366517537548017,66.20340088084146,122.70713958963225,-5.952510030959998,65.4355476932751,216.9723685087182,35.62866062265906,11.053171712842804,36.82609340264336,85.18534985616752,2022,-5.952510030959998,2020,216.9723685087182,300000.0,85000.0,850000.0,12620305.187978089,13470305.187978089,13170305.187978089,470556.0495685026,558843.4598943881,535613.3871225066,641445.2630699136,1948204.2430396832,3138022.359656324,2866231.263924014,6298301.661908934,10382991.559827205,12620305.187978087
4,LLY + TSLA + NVDA + ANET,Rebalanced annually,LLY,Health Care,Eli Lilly and Company Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,27.267510917347654,88.70081082745787,123.9305803967283,-24.15586547503281,84.80068233447413,234.90723291028576,28.82962693769484,1.4919223520225455,72.2417916621728,57.48606935048932,2022,-24.15586547503281,2020,234.90723291028576,300000.0,85000.0,850000.0,12470084.573876765,13320084.573876765,13020084.573876765,387458.20805146795,582364.9594899975,506053.3924909758,566946.6976516728,1813745.4971814612,3266814.0546021406,2392686.8462529825,5272957.541890478,9865113.636134923,12470084.573876765
5,LLY + TSLA + AMD + ANET,Rebalanced annually,LLY,Health Care,Eli Lilly and Company Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,AMD,Technology,Advanced Micro Devices Inc. Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,36.863242594569236,41.37387113570309,96.07376342934697,-25.337097237845548,67.6570668916604,229.32787021091778,46.701124198181375,29.088729851515815,49.40795118231807,74.52651240745803,2022,-25.337097237845548,2020,229.32787021091778,300000.0,85000.0,850000.0,12277904.061066959,13127904.061066959,12827904.061066959,438579.53722237406,570272.7008688411,651157.7862415212,870255.7927203025,2780994.8675529114,4577534.425346827,3332720.0769008473,6449589.679344918,9033034.60205869,12277904.061066967
6,NEM + PBR + TSLA + NVDA,Rebalanced annually,NEM,Basic Materials,Newmont Corporation,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,55.5096578062882,55.920099515315435,105.28963540095184,-19.708481378854618,50.766986597689254,219.28352547105186,39.222801213224585,-0.5972598993372502,35.093781522282875,110.30179170634536,2022,-19.708481378854618,2020,219.28352547105186,300000.0,85000.0,850000.0,11762019.93149659,12612019.93149659,12312019.93149659,545905.3751190361,652484.2147817094,563587.1882173127,699641.8707149911,2148841.2304904424,3154743.169979146,2447991.1997731184,4940472.208661621,7618189.184271703,11762019.931496583
7,NEM + TSLA + NVDA + ANET,Rebalanced annually,NEM,Basic Materials,Newmont Corporation,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,60.41065118608782,78.41750946193181,106.51307620804789,-37.91183682292743,70.13212123888829,237.21838987261944,32.42376752826041,-10.158509260157512,70.5094797818123,82.60251120066717,2022,-37.91183682292743,2020,237.21838987261944,300000.0,85000.0,850000.0,11667897.310701562,12517897.310701562,12217897.310701562,462807.5336020015,704130.7179358089,547601.5337506862,640154.5820351972,2073718.9742348888,3443062.0793991317,2052734.002145241,4154164.134198713,7326756.187198167,11667897.310701558
8,AEM + PBR + TSLA + NVDA,Rebalanced annually,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,42.18729489004396,69.38748769585973,109.72440733605036,-14.247263349120608,43.213623385439305,213.2564910081556,45.13845215255995,-1.9370790724178042,35.096769760782884,103.13697530114037,2022,-14.247263349120608,2020,213.2564910081556,300000.0,85000.0,850000.0,11458878.18000102,12308878.18000102,12008878.18000102,524410.9259034211,623462.2211681346,526385.2649574555,678987.4259184024,2041972.1848185873,2839382.354401518,2349848.0728814728,4843204.9441482695,8118783.178854421,11458878.18000102
9,AEM + TSLA + NVDA + ANET,Rebalanced annually,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,47.08828826984362,91.88489764247613,110.94784814314644,-32.450618793193435,62.578758026638326,231.19135540972317,38.33941846759574,-11.49832843323804,70.51246802031234,75.43769479546218,2022,-32.450618793193435,2020,231.19135540972317,300000.0,85000.0,850000.0,11456451.166868018,12306451.166868018,12006451.166868018,441313.08438638656,667493.8318837914,505743.19882218726,614642.2001900304,1950641.8337295058,3086329.266825474,1999796.3217451775,4133527.3079672456,7846614.643916748,11456451.166868031
10,PBR + ISRG + TSLA + NVDA,Rebalanced annually,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,14.431718929197865,71.55788957174516,114.26430802984355,-21.05335265548522,56.85513164269813,218.81022533694977,37.45216290624715,8.747615478195787,50.52707828659281,91.8061379901929,2022,-21.05335265548522,2020,218.81022533694977,300000.0,85000.0,850000.0,11430865.75594666,12280865.75594666,11980865.75594666,490418.4139705787,653212.5099293598,625353.0285534516,774561.2635464406,2384380.5096851327,3655023.1873294516,2800518.266061226,5915511.084025458,10063525.973136742,11430865.75594666
