Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Role 1,Stock 1 Top100 Uses,Stock 2,Sector 2,Name 2,Role 2,Stock 2 Top100 Uses,Stock 3,Sector 3,Name 3,Role 3,Stock 3 Top100 Uses,Stock 4,Sector 4,Name 4,Role 4,Stock 4 Top100 Uses,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Worst Year,Worst Year %,Best Year,Best Year %,Defense Recession Worst %,Defense Recession Avg %,Defense Recession Positive Years,Defense Recession Observations,Recession Stress Years,Starting Value ($),Annual Withdrawal ($),Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),Max Ticker Repeats,Distinct Tickers in Top 100,Candidate Partners per Profit Pair,NBER Recession Periods,NBER Source,2025 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2016 Balance After Withdrawal ($)
1,NVDA + ANET + LLY + CAT,Not rebalanced,NVDA,Technology,NVIDIA Corporation Common Stock,Profit Engine,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,Profit Engine,5,LLY,Health Care,Eli Lilly and Company Common Stock,Recession Defense,5,CAT,Industrials,Caterpillar Inc. Common Stock,Recession Defense,5,143.25548351781086,75.93243945359431,-18.600470365658584,47.74788922716164,74.51199800649009,86.27273696889306,-24.738508358995016,129.3655956618033,76.72314018575779,39.50342307881935,2022,-24.738508358995016,2016,143.25548351781086,-29.052783293764442,3.2631082744742455,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,21361264.93469382,21361264.93469382,21061264.93469382,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,418510.26923645806,739604.4897945381,1696398.2435586837,1276734.622274074,2378208.5247393763,4150259.2132833577,6131920.3850819655,4991354.351009017,8781411.471503284,21361264.93469382
2,NVDA + ANET + LLY + PH,Not rebalanced,NVDA,Technology,NVIDIA Corporation Common Stock,Profit Engine,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,Profit Engine,5,LLY,Health Care,Eli Lilly and Company Common Stock,Recession Defense,5,PH,Industrials,Parker-Hannifin Corporation Common Stock,Recession Defense,5,143.91504809180938,73.69450732405784,-19.091470078274387,49.39477570228734,75.38057249822204,86.96442131069742,-27.02993303689101,136.8204613301653,82.6103108035282,34.31281863269413,2022,-27.02993303689101,2016,143.91504809180938,-31.9263547848648,2.0585405654242814,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,21351226.84057629,21351226.84057629,21051226.84057629,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,402938.4558980824,735807.1666624256,1742541.9265903744,1271534.0106932458,2377316.2048613285,4169350.770178803,6228792.231350212,5039624.226264107,8753550.470793303,21351226.84057629
3,NVDA + TSLA + LLY + PGR,Not rebalanced,NVDA,Technology,NVIDIA Corporation Common Stock,Profit Engine,5,TSLA,Industrials,Tesla Inc. Common Stock,Profit Engine,5,LLY,Health Care,Eli Lilly and Company Common Stock,Recession Defense,5,PGR,Finance,Progressive Corporation (The) Common Stock,Recession Defense,5,123.26482470324743,59.38271250958622,-12.499553145315733,51.31159279620003,136.8167689785516,82.54633891216254,-34.2726653909445,138.25262701966392,82.88472819753684,21.875373565131028,2022,-34.2726653909445,2023,138.25262701966392,-21.69853679843886,9.415587402556888,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,21326910.514516618,21326910.514516618,21026910.514516618,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,365626.12069539307,668674.3370529676,1593134.1742350175,1047124.6294706631,1911487.674946243,4526723.3512309315,6849457.204225047,5993305.6608172795,9552293.131201161,21326910.514516618
4,NVDA + TSLA + NFLX + LLY,Not rebalanced,NVDA,Technology,NVIDIA Corporation Common Stock,Profit Engine,5,TSLA,Industrials,Tesla Inc. Common Stock,Profit Engine,5,NFLX,Consumer Discretionary,Netflix Inc. Common Stock,Recession Defense,5,LLY,Health Care,Eli Lilly and Company Common Stock,Recession Defense,5,123.19174256739758,58.98232012582816,-11.576138815895886,51.41160883360054,141.73683323848755,86.6075079644387,-41.516046812545525,141.25369057545765,89.08442388210074,23.928836036707434,2022,-41.516046812545525,2020,141.73683323848755,-4.509132033221483,27.867140509555025,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,21256297.080391742,21256297.080391742,20956297.080391742,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,371786.5081101223,702990.3769314045,1695990.2287373338,991882.1314385443,1850926.5274220258,4474371.172961111,6774717.378167262,5990466.690085998,9523782.930263624,21256297.080391742
5,NVDA + TSLA + LLY + SCCO,Not rebalanced,NVDA,Technology,NVIDIA Corporation Common Stock,Profit Engine,5,TSLA,Industrials,Tesla Inc. Common Stock,Profit Engine,5,LLY,Health Care,Eli Lilly and Company Common Stock,Recession Defense,5,SCCO,Basic Materials,Southern Copper Corporation Common Stock,Recession Defense,5,124.81216237822919,58.76805688270083,-15.0101171023312,52.50046060055708,137.63142666444296,77.52517939588455,-34.49792939001247,139.14479307054478,66.40566566314632,39.28214026586816,2022,-34.49792939001247,2023,139.14479307054478,-35.88674098547497,12.721316249677495,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,21256213.707639694,21256213.707639694,20956213.707639694,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,417846.4207976045,695320.1179778852,1662821.8573160814,1089182.7470974857,1933573.625733835,4594778.592438708,7007058.517044824,5955290.828207524,9455099.529658787,21256213.707639694
6,AMD + ANET + PGR + CAT,Not rebalanced,AMD,Technology,Advanced Micro Devices Inc. Common Stock,Profit Engine,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,Profit Engine,5,PGR,Finance,Progressive Corporation (The) Common Stock,Recession Defense,5,CAT,Industrials,Caterpillar Inc. Common Stock,Recession Defense,5,116.57799764025386,43.85986675715101,24.537936351370803,36.29354775514406,47.67224102339196,49.37172826632743,-12.873051880346232,67.26289387631877,29.17059313266308,38.28236890244572,2022,-12.873051880346232,2016,116.57799764025386,-29.4491494252709,15.40951394906729,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,9109657.490326889,9109657.490326889,8809657.490326889,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,414847.10670733714,535860.4683275591,896295.7264638698,780915.1125948497,1166466.3999758638,1722547.0736292407,2347720.5184017057,2923802.6849151887,4206178.646760995,9109657.490326889
7,AMD + ANET + PGR + PH,Not rebalanced,AMD,Technology,Advanced Micro Devices Inc. Common Stock,Profit Engine,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,Profit Engine,5,PGR,Finance,Progressive Corporation (The) Common Stock,Recession Defense,5,PH,Industrials,Parker-Hannifin Corporation Common Stock,Recession Defense,5,117.78189613730147,40.5859904649039,21.577429559367147,40.361629664443925,49.42324647254728,50.25812700087036,-17.69078274971315,77.1292407688504,33.257217271337325,33.09176445632049,2022,-17.69078274971315,2016,117.78189613730147,-32.32272091637126,14.204946240017325,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,9099619.396209357,9099619.396209357,8799619.396209357,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,399275.2933689615,532063.1451954466,942439.4094955606,775714.5010140215,1165574.0800978162,1741638.6305246856,2444592.364669952,2972072.5601702784,4178317.646051013,9099619.396209357
8,AMD + ANET + NFLX + CAT,Not rebalanced,AMD,Technology,Advanced Micro Devices Inc. Common Stock,Profit Engine,5,ANET,Telecommunications,Arista Networks Inc. Common Stock,Profit Engine,5,NFLX,Consumer Discretionary,Netflix Inc. Common Stock,Recession Defense,5,CAT,Industrials,Caterpillar Inc. Common Stock,Recession Defense,5,116.36575935648077,43.02363379377567,28.508074178658237,36.09074597577329,51.02513453632833,52.3972698236701,-27.371133356635667,75.2355220859446,35.43143914694298,40.33583137402217,2022,-27.371133356635667,2016,116.36575935648077,-12.25974466005352,31.18113468233808,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,9039044.056202013,9039044.056202013,8739044.056202013,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,421007.4941220665,570176.508205996,999151.7809661858,725672.6145627308,1105905.2524516464,1670194.8953594205,2272980.6923439214,2920963.714183906,4177668.445823458,9039044.056202013
9,AMD + TSLA + NFLX + PGR,Not rebalanced,AMD,Technology,Advanced Micro Devices Inc. Common Stock,Profit Engine,5,TSLA,Industrials,Tesla Inc. Common Stock,Profit Engine,5,NFLX,Consumer Discretionary,Netflix Inc. Common Stock,Recession Defense,5,PGR,Finance,Progressive Corporation (The) Common Stock,Recession Defense,5,81.96622129738269,26.14471828363547,31.17846690158792,46.11703575533637,220.19852562022373,28.851555150759502,-44.62892890339584,79.44802237146382,35.61931386787638,22.707781860333796,2022,-44.62892890339584,2020,220.19852562022373,-4.905498164727942,34.0945201262895,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,9004689.636024812,9004689.636024812,8704689.636024812,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,368123.34558100137,499246.35546442546,895887.71164252,496062.62175931985,639184.4026585135,2046659.0333069945,2990517.511487003,3922915.023992169,4948550.1055213325,9004689.636024812
10,AMD + TSLA + PGR + SCCO,Not rebalanced,AMD,Technology,Advanced Micro Devices Inc. Common Stock,Profit Engine,5,TSLA,Industrials,Tesla Inc. Common Stock,Profit Engine,5,PGR,Finance,Progressive Corporation (The) Common Stock,Recession Defense,5,SCCO,Basic Materials,Southern Copper Corporation Common Stock,Recession Defense,5,84.52566038741519,25.519395757594964,20.630148072858322,48.7198810273364,200.21777241246875,21.65086332463573,-31.221753152528475,75.50066944765032,18.685651024613527,38.0610860894945,2022,-31.221753152528475,2020,200.21777241246875,-36.28310711698143,24.86772192427054,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,9004606.26327276,9004606.26327276,8704606.26327276,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,414183.2582684835,491576.0965109061,862719.3402212679,593363.2374182614,721831.5009703229,2167066.452784591,3222858.650364563,3887739.1621136954,4879866.704916496,9004606.26327276
