Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,10Y CAGR %
1,Best Worst Year,PBR + PGR + LLY + AVGO,PBR,Energy,PGR,Finance,LLY,Health Care,AVGO,Technology,21.700005079741196,48.23148271786356,69.35809508730303,26.255863920319754,38.45713906371117,22.129979958323847,23.51456013162418,20.28885066374713,32.34696098052237,40.823319052659464,2018,20.28885066374713,2023,69.35809508730303,100000.0,1619660.605041318,1519660.605041318,1519.660605041318,32.11204095946625
2,Best Worst Year,PBR + LLY + CAT + PANW,PBR,Energy,LLY,Health Care,CAT,Industrials,PANW,Technology,25.181060536156735,19.77793769990505,71.84049052620449,21.318391306468346,39.77996651702669,20.70123777904037,20.540453154155063,20.13269394604177,27.638520927212557,34.46199166140849,2024,19.77793769990505,2023,71.84049052620449,100000.0,1037521.9641173242,937521.9641173242,937.5219641173242,26.357123278887084
3,Best Worst Year,MPC + PGR + MRK + SHOP,MPC,Energy,PGR,Finance,MRK,Health Care,SHOP,Technology,19.330749377601624,19.393009936956375,44.764721284987736,22.012745967994803,23.819523522309737,47.90082830590803,60.15539666081165,19.54864337400769,57.61928153059846,24.210428707271205,2025,19.330749377601624,2019,60.15539666081165,100000.0,1966866.9058009463,1866866.9058009463,1866.8669058009464,34.70307109103887
4,Best Worst Year,PBR + PGR + LLY + GOOG,PBR,Energy,PGR,Finance,LLY,Health Care,GOOG,Technology,25.396205989525576,29.512373000344912,58.01956886994576,19.905446656827785,40.628556623468356,18.667146811252195,23.527794495330717,19.125571555755226,29.19434539731521,35.33819800328446,2020,18.667146811252195,2023,58.01956886994576,100000.0,1048181.0742055685,948181.0742055685,948.1810742055686,26.486341557148684
5,Best Worst Year,PBR + PGR + LLY + GOOGL,PBR,Energy,PGR,Finance,LLY,Health Care,GOOGL,Technology,25.54015715083736,29.609654225565784,57.89324000493835,19.80089169825483,40.65986353170432,18.623374653504143,23.295686891255556,19.183063319286592,28.532808548108314,35.37591973408885,2020,18.623374653504143,2023,57.89324000493835,100000.0,1042552.4463576291,942552.4463576291,942.5524463576292,26.41825496239274
6,Best Worst Year,PBR + PGR + LLY + TSM,PBR,Energy,PGR,Finance,LLY,Health Care,TSM,Technology,23.029141198033066,43.75386503907945,53.89446960867209,20.38616772888501,27.35957824506284,34.077051050412,32.46213202507472,18.506895973132487,30.902099701602452,42.69113901700305,2018,18.506895973132487,2023,53.89446960867209,100000.0,1273449.5195205451,1173449.5195205451,1173.449519520545,28.972813338369075
7,Best Worst Year,LIN + PBR + LLY + AVGO,LIN,Basic Materials,PBR,Energy,LLY,Health Care,AVGO,Technology,23.25920828405072,36.17863180142298,70.48283672899467,18.455695702335014,44.0950223536461,18.22895060406314,26.99127145218003,18.693036655360185,25.735915769169665,41.47509881760361,2020,18.22895060406314,2023,70.48283672899467,100000.0,1515295.4844492807,1415295.4844492807,1415.2954844492806,31.23501732033982
8,Best Worst Year,PBR + LLY + AVGO + TMUS,PBR,Energy,LLY,Health Care,AVGO,Technology,TMUS,Telecommunications,20.810600976103874,45.309097071872756,67.32397069195797,24.73173026798652,32.24902208086284,29.74888491817221,23.05140990055454,17.979499556311932,19.558453161018797,48.85056861888545,2018,17.979499556311932,2023,67.32397069195797,100000.0,1525498.6383002636,1425498.6383002636,1425.4986383002636,31.32311703656301
9,Best Worst Year,XOM + PGR + LLY + SHOP,XOM,Energy,PGR,Finance,LLY,Health Care,SHOP,Technology,26.147095616763465,33.112750927081585,50.55910086310499,18.417808067314006,39.0439383026146,55.25546724110738,58.91824795368583,17.958879689390145,52.80260677369421,22.644054556775792,2018,17.958879689390145,2019,58.91824795368583,100000.0,2226629.2927004485,2126629.2927004485,2126.629292700449,36.38442963943089
10,Best Worst Year,TJX + BHP + MRK + AVGO,TJX,Consumer Discretionary,BHP,Energy,MRK,Health Care,AVGO,Technology,28.81707040812686,27.539846149968135,35.345762619946164,17.901741542739956,17.993713587341286,18.82389776233491,28.644996447184866,18.267857404439216,21.00852231653963,21.976663838825697,2022,17.901741542739956,2023,35.345762619946164,100000.0,1093347.8853326084,993347.8853326084,993.3478853326085,27.021090503408885
11,Best Worst Year,TJX + PBR + LLY + AAPL,TJX,Consumer Discretionary,PBR,Energy,LLY,Health Care,AAPL,Technology,19.241850385797008,23.077264370155465,54.69703180126163,17.95335732188916,33.49484837017668,24.17941256832619,41.89650297912689,20.42270365933023,17.885210634529265,36.1462983702603,2017,17.885210634529265,2023,54.69703180126163,100000.0,1022406.8126563367,922406.8126563367,922.4068126563367,26.171821674456197
12,Best Worst Year,COP + LLY + DHR + AVGO,COP,Energy,LLY,Health Care,DHR,Industrials,AVGO,Technology,22.222358177909655,32.82021555384227,41.45928364233844,18.41413795485648,64.43263220708782,21.30516204723683,25.34368434315383,17.877525193577036,24.49499951621896,24.120418522706217,2018,17.877525193577036,2021,64.43263220708782,100000.0,1376414.9343698563,1276414.9343698563,1276.4149343698564,29.979522628628086
13,Best Worst Year,MPC + PGR + LLY + SHOP,MPC,Energy,PGR,Finance,LLY,Health Care,SHOP,Technology,26.94513149672906,29.283286956323735,59.73951611551941,18.221230655776573,39.90034889420591,57.46199015040328,58.622525072054465,19.67386113189393,62.449488209503855,17.854675977118468,2016,17.854675977118468,2017,62.449488209503855,100000.0,2274312.29796103,2174312.29796103,2174.3122979610303,36.67371833836866
14,Best Worst Year,NEM + PBR + PGR + LLY,NEM,Basic Materials,PBR,Energy,PGR,Finance,LLY,Health Care,52.24630025168255,18.650212693168644,41.12180110685287,24.381133664743334,26.186897124263822,20.981092066810753,23.880776243620936,17.846619744195856,23.026702434724267,57.43614657635122,2018,17.846619744195856,2016,57.43614657635122,100000.0,1016702.2590975099,916702.2590975099,916.7022590975099,26.101246296001147
15,Best Worst Year,XOM + PGR + MRK + SHOP,XOM,Energy,PGR,Finance,MRK,Health Care,SHOP,Technology,18.532713497636028,23.222473907714225,35.584306032573316,22.209323379532236,22.963112930718424,45.69430539661213,60.45111954244301,17.833661931503904,47.97240009478881,28.999807286928526,2018,17.833661931503904,2019,60.45111954244301,100000.0,1919183.9005403647,1819183.9005403647,1819.1839005403647,34.37289043566383
16,Best Worst Year,PBR + LLY + RTX + NOW,PBR,Energy,LLY,Health Care,RTX,Industrials,NOW,Technology,18.220167304387203,30.464147694609625,54.40260403959995,17.82895032206656,31.924702609893934,18.79241687361704,35.56376003889217,22.508269816872563,28.535735341605843,31.942558223920614,2022,17.82895032206656,2023,54.40260403959995,100000.0,928760.7973604441,828760.7973604441,828.7607973604441,24.965573773095052
17,Best Worst Year,VLO + PGR + MRK + SHOP,VLO,Energy,PGR,Finance,MRK,Health Care,SHOP,Technology,23.782053665999648,19.667689288735033,38.61527659432597,19.095539607527037,18.63264733357581,45.8243776349202,66.20988445565592,17.674308942454545,58.9209034824234,24.194230521699772,2018,17.674308942454545,2019,66.20988445565592,100000.0,1945245.3656807733,1845245.3656807733,1845.2453656807734,34.55425591449406
18,Best Worst Year,PBR + LLY + CAT + NOW,PBR,Energy,LLY,Health Care,CAT,Industrials,NOW,Technology,17.936115696814852,26.438331594689544,64.49936704623381,17.47518083960157,30.096494143475514,31.022373429784167,29.48681575816685,21.783086990416745,42.51131571850688,38.18398122843772,2022,17.47518083960157,2023,64.49936704623381,100000.0,1101877.4932914139,1001877.4932914139,1001.8774932914139,27.11983814493617
19,Best Worst Year,PBR + LLY + AVGO + NEE,PBR,Energy,LLY,Health Care,AVGO,Technology,NEE,Utilities,26.32420078849642,40.7494211209334,57.24537450276414,17.418103713402203,41.59549645059436,19.275298802532813,27.902247654992422,21.51606168782886,25.549203139780396,41.70572089902677,2022,17.418103713402203,2023,57.24537450276414,100000.0,1491004.9016836178,1391004.9016836178,1391.0049016836178,31.023111016810724
20,Best Worst Year,WMT + PBR + LLY + TMO,WMT,Consumer Discretionary,PBR,Energy,LLY,Health Care,TMO,Industrials,18.863909315360786,25.827402583304778,39.904012035008456,18.434288167595906,33.00372280103291,17.299717571868168,28.896097355912694,20.72918632203546,25.300395260608642,35.1655292517598,2020,17.299717571868168,2023,39.904012035008456,100000.0,880047.4402423728,780047.4402423728,780.0474402423728,24.294127014857537
21,Best Worst Year,TJX + PBR + LLY + DE,TJX,Consumer Discretionary,PBR,Energy,LLY,Health Care,DE,Industrials,19.825005525782334,17.28980800228524,41.075012752203506,31.201196906299543,32.04758074139446,18.09214780690699,24.23090413871593,21.04629365769113,19.47652831302812,42.760991934471775,2024,17.28980800228524,2016,42.760991934471775,100000.0,916272.7846152588,816272.7846152588,816.2727846152588,24.796521057277566
22,Best Worst Year,PBR + LLY + TMO + ORCL,PBR,Energy,LLY,Health Care,TMO,Industrials,ORCL,Technology,17.27350557504557,22.326923411772732,44.419045066779624,17.388766766762462,41.73339616069828,17.531816900676105,26.191168112280007,20.84478464333162,19.894439640940153,32.87935653706853,2025,17.27350557504557,2023,44.419045066779624,100000.0,871666.7729047487,771666.7729047487,771.6667729047487,24.175251748538006
