Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,2025,2024,2023,2022,2021,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,5Y CAGR %,Ranking Start Year,Ranking End Year
1,Best Worst Year,MPC + MUFG + LLY + HWM,MPC,Energy,MUFG,Finance,LLY,Health Care,HWM,Industrials,46.33697163003983,43.011582652630636,39.57378354846573,41.801051983750845,40.50091725876154,2023,39.57378354846573,2025,46.33697163003983,100000.0,555698.9067348656,455698.9067348656,455.6989067348656,40.91846650296389,2021,2025
2,Best Worst Year,XOM + BBVA + LLY + HWM,XOM,Energy,BBVA,Finance,LLY,Health Care,HWM,Industrials,74.54287834852431,40.36605704192249,38.742319174032474,38.981372369341,39.346001681940365,2023,38.742319174032474,2025,74.54287834852431,100000.0,597356.3305491824,497356.33054918237,497.35633054918236,42.97058496798392,2021,2025
3,Best Worst Year,MPC + HSBC + LLY + HWM,MPC,Energy,HSBC,Finance,LLY,Health Care,HWM,Industrials,53.819284496940476,41.6087715610141,42.164736677755755,38.20867285884831,39.87909905110247,2022,38.20867285884831,2025,53.819284496940476,100000.0,564250.3852898441,464250.3852898441,464.25038528984413,41.34953133469905,2021,2025
4,Best Worst Year,MPC + LLY + HWM + IBM,MPC,Energy,LLY,Health Care,HWM,Industrials,IBM,Technology,46.39879985446434,42.80518546056492,37.76460934415373,38.92000117044695,38.85149098342637,2023,37.76460934415373,2025,46.39879985446434,100000.0,537458.9298439847,437458.92984398466,437.45892984398466,39.98098868601849,2021,2025
5,Best Worst Year,XOM + MCK + HWM + AVGO,XOM,Energy,MCK,Health Care,HWM,Industrials,AVGO,Technology,49.77656983294375,62.033408890443,39.974404293093635,37.53141158168081,42.49036388206835,2022,37.53141158168081,2024,62.033408890443,100000.0,612488.2884655603,512488.2884655603,512.4882884655603,43.68768830830761,2021,2025
6,Best Worst Year,MPC + MCK + HWM + AVGO,MPC,Energy,MCK,Health Care,HWM,Industrials,AVGO,Technology,50.57460571290935,58.20394491968515,49.154819545508055,37.334834170143374,43.34677447365966,2022,37.334834170143374,2024,58.20394491968515,100000.0,635232.5780802248,535232.5780802248,535.2325780802248,44.73932821371436,2021,2025
7,Best Worst Year,TJX + MPC + LLY + HWM,TJX,Consumer Discretionary,MPC,Energy,LLY,Health Care,HWM,Industrials,44.023716427109,40.62848080145948,37.22487151195117,37.943625783547205,37.89494864547376,2023,37.22487151195117,2025,44.023716427109,100000.0,522335.061490059,422335.061490059,422.335061490059,39.18416736444066,2021,2025
8,Best Worst Year,MPC + SMFG + LLY + HWM,MPC,Energy,SMFG,Finance,LLY,Health Care,HWM,Industrials,45.73067304847248,46.714708680762094,37.476983159986176,40.78947607305943,37.2004361083181,2021,37.2004361083181,2024,46.714708680762094,100000.0,544134.7096259085,444134.7096259085,444.13470962590856,40.32701463245117,2021,2025
9,Best Worst Year,MPC + MCK + HWM + ETN,MPC,Energy,MCK,Health Care,HWM,Industrials,ETN,Technology,37.218973517053875,40.45854426366671,37.16469927677159,38.856612550862884,40.901090803504715,2023,37.16469927677159,2021,40.901090803504715,100000.0,487689.69506206596,387689.69506206596,387.689695062066,37.28677900108923,2021,2025
10,Best Worst Year,XOM + MUFG + MCK + AVGO,XOM,Energy,MUFG,Finance,MCK,Health Care,AVGO,Technology,37.282916664883054,46.381063364975816,37.78564301580419,37.030473419209926,45.384554028622844,2022,37.030473419209926,2024,46.381063364975816,100000.0,524365.7651863423,424365.7651863423,424.3657651863423,39.2922218724098,2021,2025
