Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,10Y CAGR %
1,Best Profit Generator,LLY + TSLA + NVDA + ANET,LLY,Health Care,TSLA,Industrials,NVDA,Technology,ANET,Telecommunications,27.26751091734766,88.70081082745786,123.93058039672832,-24.15586547503282,84.80068233447412,234.90723291028576,28.829626937694847,1.4919223520225628,72.2417916621728,57.48606935048934,2022,-24.15586547503282,2020,234.90723291028576,100000.0,7553828.943647302,7453828.943647302,7453.828943647302,54.10499460332077
2,Best Profit Generator,ISRG + TSLA + NVDA + ANET,ISRG,Health Care,TSLA,Industrials,NVDA,Technology,ANET,Telecommunications,19.33271230899752,94.05529951836158,115.48774883693963,-39.25670809955803,76.22026628389716,236.7450897385173,30.65312922128295,-0.8136338826244689,85.94277654612222,64.10685748451469,2022,-39.25670809955803,2020,236.7450897385173,100000.0,7408586.354033723,7308586.354033723,7308.586354033723,53.80609102868967
3,Best Profit Generator,PBR + TSLA + NVDA + ANET,PBR,Energy,TSLA,Industrials,NVDA,Technology,ANET,Telecommunications,16.94187128806796,79.81032791977321,130.99862139323045,-18.4119897259016,73.38773372613028,219.9265186110535,30.72750740630365,-1.700809563454042,68.22832153247927,93.85733611576312,2022,-18.4119897259016,2020,219.9265186110535,100000.0,7408109.853933257,7308109.853933257,7308.109853933257,53.8051017611616
4,Best Profit Generator,PGR + TSLA + NVDA + ANET,PGR,Finance,TSLA,Industrials,NVDA,Technology,ANET,Telecommunications,16.450724512556242,93.22375478042645,114.49278429730906,-26.017945234159335,70.99092635038112,237.5180343243764,31.078412425913157,-6.273049310061906,83.17996241643411,63.803334677920674,2022,-26.017945234159335,2020,237.5180343243764,100000.0,7403733.431579809,7303733.431579809,7303.733431579809,53.79601313925257
5,Best Profit Generator,BX + TSLA + NVDA + ANET,BX,Finance,TSLA,Industrials,NVDA,Technology,ANET,Telecommunications,15.245844724722453,89.1432208780698,129.39014332918563,-42.721063556726165,95.0575439472943,232.09130416549507,48.87615404028146,-8.595991911828559,74.61927355537084,59.69701218696485,2022,-42.721063556726165,2020,232.09130416549507,100000.0,7383854.768583409,7283854.768583409,7283.854768583408,53.75466968323237
6,Best Profit Generator,FCX + TSLA + NVDA + ANET,FCX,Basic Materials,TSLA,Industrials,NVDA,Technology,ANET,Telecommunications,26.058793669060865,78.02235033071807,112.12480364405876,-34.55558977161815,83.63365464068815,251.91197253722146,32.19160223100483,-19.89831375764747,78.71953049243334,83.78580053799556,2022,-34.55558977161815,2020,251.91197253722146,100000.0,7382036.530941121,7282036.530941121,7282.036530941122,53.750883131084606
7,Best Profit Generator,NFLX + TSLA + NVDA + ANET,NFLX,Consumer Discretionary,TSLA,Industrials,NVDA,Technology,ANET,Telecommunications,18.504188661278143,101.1424738634322,124.98112176863404,-45.48278900430733,71.13422792547709,243.9257148836797,30.016742355437156,1.2370608991494905,81.547346858404,62.13720347774731,2022,-45.48278900430733,2020,243.9257148836797,100000.0,7380195.56435458,7280195.56435458,7280.19556435458,53.74704838972158
8,Best Profit Generator,SCCO + TSLA + NVDA + ANET,SCCO,Basic Materials,TSLA,Industrials,NVDA,Technology,ANET,Telecommunications,33.84275440932052,82.73028144946446,121.2097097458821,-31.6770034685047,68.11141287415805,241.82776424387487,36.4144275596873,-16.905270173363856,80.4731159781667,65.85256729773369,2022,-31.6770034685047,2020,241.82776424387487,100000.0,7379284.263272923,7279284.263272923,7279.284263272923,53.745149827059066
9,Best Profit Generator,AEM + TSLA + NVDA + ANET,AEM,Basic Materials,TSLA,Industrials,NVDA,Technology,ANET,Telecommunications,47.088288269843616,91.88489764247615,110.94784814314642,-32.450618793193435,62.578758026638326,231.19135540972317,38.339418467595735,-11.49832843323804,70.51246802031231,75.43769479546218,2022,-32.450618793193435,2020,231.19135540972317,100000.0,7368686.998517642,7268686.998517642,7268.686998517642,53.723056465990894
10,Best Profit Generator,MS + TSLA + NVDA + ANET,MS,Finance,TSLA,Industrials,NVDA,Technology,ANET,Telecommunications,28.497284938709196,90.30834563947772,112.1856455161667,-35.304303701028466,79.94455259217135,236.6693877423111,32.9631331074998,-14.311627663092583,74.43494802904755,69.09656628220303,2022,-35.304303701028466,2020,236.6693877423111,100000.0,7360467.427467705,7260467.427467705,7260.467427467705,53.70590046136987
