Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Stock 1 Top250 Uses,Stock 2,Sector 2,Name 2,Stock 2 Top250 Uses,Stock 3,Sector 3,Name 3,Stock 3 Top250 Uses,Stock 4,Sector 4,Name 4,Stock 4 Top250 Uses,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Annual Withdrawal ($),Target Withdrawals,Withdrawals Fully Funded,Full 20Y Withdrawal Goal,Depleted Year,Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),Max Ticker Repeats,Distinct Tickers in Top 250,Ranking Window Start,Ranking Window End,Ranking Source,Ranking Method,2006 Balance After Withdrawal ($),2007 Balance After Withdrawal ($),2008 Balance After Withdrawal ($),2009 Balance After Withdrawal ($),2010 Balance After Withdrawal ($),2011 Balance After Withdrawal ($),2012 Balance After Withdrawal ($),2013 Balance After Withdrawal ($),2014 Balance After Withdrawal ($),2015 Balance After Withdrawal ($),2016 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2025 Balance After Withdrawal ($)
1,SCCO + BKNG + MNST + NVO,Not rebalanced,SCCO,Basic Materials,Southern Copper Corporation Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,MNST,Consumer Staples,Monster Beverage Corporation,10,NVO,Health Care,Novo Nordisk A/S Common Stock,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.44739675377482,10.37755159866769,71.58905867334384,105.7418642194782,-35.17851921852798,94.29154204404855,74.04705290017293,2008,-35.17851921852798,2009,105.7418642194782,300000.0,160000.0,20,6,No,2012,1105674.4771920973,0.0,1105674.4771920973,805674.4771920973,10,103,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",362141.1587005188,543609.641615423,192375.81936597032,235797.5970710434,244602.87718856754,109986.66698063695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AEM + BKNG + MNST + NVO,Not rebalanced,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,MNST,Consumer Staples,Monster Beverage Corporation,10,NVO,Health Care,Novo Nordisk A/S Common Stock,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.49195961408218,11.081391578047906,70.44695813606863,77.63072284063357,-24.088431423634425,72.76077106942711,81.58069491568362,2008,-24.088431423634425,2006,81.58069491568362,300000.0,160000.0,20,6,No,2012,1105344.9109770732,0.0,1105344.9109770732,805344.9109770732,10,103,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",384742.0847470509,504683.392237594,223113.07939196925,236317.3756759516,242795.77838664525,109700.9293246388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,AEM + BKNG + PBR + NVO,Not rebalanced,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,10,NVO,Health Care,Novo Nordisk A/S Common Stock,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25867813181218,1.243115538031625,58.942677328225955,92.7889233791702,-32.071060645965474,95.29167487897759,76.65403604176855,2008,-32.071060645965474,2007,95.29167487897759,300000.0,160000.0,20,6,No,2012,1104930.2340748443,0.0,1104930.2340748443,804930.2340748443,10,103,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",369962.1081253056,562505.1973754833,222103.81438848417,268191.5525436292,266270.8339809801,109580.88809144404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,SCCO + BKNG + PBR + NVO,Not rebalanced,SCCO,Basic Materials,Southern Copper Corporation Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,10,NVO,Health Care,Novo Nordisk A/S Common Stock,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.22581996157097,1.2110628324214945,60.68724531733554,122.72660632119701,-41.69340488822863,118.4533226562428,69.12039402625783,2008,-41.69340488822863,2009,122.72660632119701,300000.0,160000.0,20,6,No,2012,1096209.0452912569,0.0,1096209.0452912569,796209.0452912569,10,103,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",347361.18207877345,598822.0438690821,189152.74455877964,261293.48871917243,259865.30921640107,103012.44139067811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AEM + BKNG + NVO + EQIX,Not rebalanced,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,NVO,Health Care,Novo Nordisk A/S Common Stock,10,EQIX,Real Estate,Equinix Inc. Common Stock REIT,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.18679839204338,5.915065063158598,60.33760002981117,92.53148824487265,-28.57010350876077,72.48778930609379,85.22624486297016,2008,-28.57010350876077,2009,92.53148824487265,300000.0,160000.0,20,6,No,2012,1095488.310229245,0.0,1095488.310229245,795488.3102292451,10,103,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",395678.7345889105,522497.50204673805,213219.4248812956,250514.5319511167,241668.98825633497,95963.86614917428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,SCCO + BKNG + NVO + EQIX,Not rebalanced,SCCO,Basic Materials,Southern Copper Corporation Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,NVO,Health Care,Novo Nordisk A/S Common Stock,10,EQIX,Real Estate,Equinix Inc. Common Stock REIT,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.55991611489007,5.556414931441789,62.044987996734704,123.32353271479137,-39.15473089190339,93.56526033135025,77.69260284745943,2008,-39.15473089190339,2009,123.32353271479137,300000.0,160000.0,20,6,No,2012,1090460.2120778058,0.0,1090460.2120778058,790460.2120778058,10,103,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",373077.80854237825,562149.031343551,182041.090909542,246540.59521173406,239506.67791793268,92814.6627315649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,AEM + BKNG + MNST + PBR,Not rebalanced,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,MNST,Consumer Staples,Monster Beverage Corporation,10,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.62074780584505,8.176429501192949,53.58774687269025,91.95792424264022,-32.939104803518745,88.16486379934257,81.62758194531314,2008,-32.939104803518745,2009,91.95792424264022,300000.0,160000.0,20,6,No,2012,1084458.6724570873,0.0,1084458.6724570873,784458.6724570873,10,103,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",384882.7458359394,564214.0944893652,218367.02258928894,259172.80379285634,238057.66985222627,97522.2873998762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,SCCO + BKNG + MNST + PBR,Not rebalanced,SCCO,Basic Materials,Southern Copper Corporation Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,MNST,Consumer Staples,Monster Beverage Corporation,10,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.90304022954806,7.639560838425941,55.69677043672432,122.55573121477875,-42.58837824183892,110.35642403722417,74.09393992980242,2008,-42.58837824183892,2009,122.55573121477875,300000.0,160000.0,20,6,No,2012,1077842.1396466887,0.0,1077842.1396466887,777842.1396466887,10,103,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",362281.81978940725,602083.0810459778,185665.66115999926,253209.56980938977,234239.12262994278,92133.9629106524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,AEM + BKNG + HDB + NVO,Not rebalanced,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,HDB,Finance,HDFC Bank Limited Common Stock,10,NVO,Health Care,Novo Nordisk A/S Common Stock,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.37695350487169,1.5831990977644317,68.1094617942164,90.11162817814231,-28.254810816122223,83.0431248302471,76.13487848152786,2008,-28.254810816122223,2009,90.11162817814231,300000.0,160000.0,20,6,No,2012,1073758.9505050108,0.0,1073758.9505050108,773758.9505050108,10,103,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",368404.6354445836,514339.3567372459,209013.74453827715,237359.43285782175,239023.66509508865,82807.88560431759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AEM + BKNG + MNST + EQIX,Not rebalanced,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,MNST,Consumer Staples,Monster Beverage Corporation,10,EQIX,Real Estate,Equinix Inc. Common Stock REIT,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.620568991983845,13.290046551745082,54.865843141736235,91.67167456340259,-29.472361791128122,66.27848020570137,90.19979076651477,2008,-29.472361791128122,2009,91.67167456340259,300000.0,160000.0,20,6,No,2012,1068967.4297134452,0.0,1068967.4297134452,768967.4297134452,10,103,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",410599.3722995443,522738.3959938318,208675.04470538977,239970.95258274954,211633.03901253117,79759.16841616941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
