Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Stock 1 Top250 Uses,Stock 2,Sector 2,Name 2,Stock 2 Top250 Uses,Stock 3,Sector 3,Name 3,Stock 3 Top250 Uses,Stock 4,Sector 4,Name 4,Stock 4 Top250 Uses,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Annual Withdrawal ($),Target Withdrawals,Withdrawals Fully Funded,Full 20Y Withdrawal Goal,Depleted Year,Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),Max Ticker Repeats,Distinct Tickers in Top 250,Ranking Window Start,Ranking Window End,Ranking Source,Ranking Method,2006 Balance After Withdrawal ($),2007 Balance After Withdrawal ($),2008 Balance After Withdrawal ($),2009 Balance After Withdrawal ($),2010 Balance After Withdrawal ($),2011 Balance After Withdrawal ($),2012 Balance After Withdrawal ($),2013 Balance After Withdrawal ($),2014 Balance After Withdrawal ($),2015 Balance After Withdrawal ($),2016 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2025 Balance After Withdrawal ($)
1,AEM + BKNG + MNST + ISRG,Rebalanced annually,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,MNST,Consumer Staples,Monster Beverage Corporation,10,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,10,45.62368408466227,33.32440886974216,31.40395021894411,-8.839613195814376,5.129276607851725,27.135207221708242,31.49060933135724,-0.84657999656892,36.20612394831546,20.460181064467548,14.838640542837545,22.68174164137806,11.41438281388823,25.1004696279523,30.204373712836478,36.62448712503673,88.90756281237849,-31.666092497838704,116.14701414431207,64.26281632840542,2008,-31.666092497838704,2007,116.14701414431207,300000.0,160000.0,20,6,No,2012,1077281.0393031342,0.0,1077281.0393031342,777281.0393031342,10,104,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",332788.44898521627,559312.2958987122,222199.9469276407,259752.50431140454,194885.5268098954,93749.47963978635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AEM + BKNG + NVO + AAPL,Rebalanced annually,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,NVO,Health Care,Novo Nordisk A/S Common Stock,10,AAPL,Technology,Apple Inc. Common Stock,10,24.487254667887118,25.528593968391736,47.21064786211845,-4.668365167659027,20.769347438556764,32.566517624700786,47.76879640893788,-7.473661032380782,33.03465726779014,13.085704217689553,13.749212530112946,12.605560739669148,15.638739129651434,39.11310385156245,-1.3972264926968423,64.4924826032533,94.0127953477965,-29.580638949522253,96.78265060032967,68.34840567818684,2008,-29.580638949522253,2007,96.78265060032967,300000.0,160000.0,20,6,No,2012,1056389.9220181552,0.0,1056389.9220181552,756389.9220181552,10,104,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",345045.21703456057,518989.12385026854,205468.82493683172,238635.8108282176,232537.96961173828,69288.88749474374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,AEM + BKNG + MNST + AAPL,Rebalanced annually,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,MNST,Consumer Staples,Monster Beverage Corporation,10,AAPL,Technology,Apple Inc. Common Stock,10,45.76024119564133,27.32096251705801,36.8715254897845,-8.903639158218729,5.852197594528391,38.114049801512586,47.87159290494874,-10.00226379369656,30.162638666729872,19.551704414812917,13.271321525737626,23.408341842168213,18.850635288939763,31.76490624048476,16.685055893962392,53.655101650240795,90.89780536516376,-30.72288276430158,90.31343321700508,73.32195158173144,2008,-30.72288276430158,2009,90.89780536516376,300000.0,160000.0,20,6,No,2012,1044062.9111332503,0.0,1044062.9111332503,744062.9111332503,10,104,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",359965.85474519426,525063.3765745168,203748.7709512447,228951.9322044204,191796.32415889256,63797.64804736906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,SCCO + BKNG + MNST + NVO,Rebalanced annually,SCCO,Basic Materials,Southern Copper Corporation Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,MNST,Consumer Staples,Monster Beverage Corporation,10,NVO,Health Care,Novo Nordisk A/S Common Stock,10,20.4464102476406,6.506212722100585,48.59142614567072,4.135382963580704,18.602326194204384,34.00706932846606,30.882871338524865,-17.090801312774136,41.563711130357426,-2.2947436749353187,20.59193571720975,18.583020199818414,27.10276728800182,32.605337894968265,15.895069844967372,63.60569379536915,86.74158525873911,-32.60391464985112,90.56706091319812,74.04705290017293,2008,-32.60391464985112,2007,90.56706091319812,300000.0,160000.0,20,6,No,2012,1025943.2221281413,0.0,1025943.2221281413,725943.2221281413,10,104,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",362141.1587005188,530121.7624925791,197281.31550921215,208406.2560011975,180964.5010437123,49728.93487920711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AEM + BKNG + ISRG + EQIX,Rebalanced annually,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,10,EQIX,Real Estate,Equinix Inc. Common Stock REIT,10,29.935860454838256,40.37859469537052,34.384328788940756,-15.550276955441475,9.236068531514743,21.809441550873625,41.4273805848085,-0.39230438032156734,32.82054482861634,28.30840364126847,16.044231944204682,15.908385970471418,0.8649152906774074,47.2649770402092,17.339710181569153,21.72604119585621,110.16838893055188,-37.43576333512419,116.68519639022323,67.90836627569193,2008,-37.43576333512419,2007,116.68519639022323,300000.0,160000.0,20,6,No,2012,1021474.3072884863,0.0,1021474.3072884863,721474.3072884863,10,104,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",343725.09882707585,584801.4054359382,205876.53531646024,272687.3974606431,171931.5737688506,41744.010370980046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,AEM + BKNG + PBR + NVO,Rebalanced annually,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,10,NVO,Health Care,Novo Nordisk A/S Common Stock,10,21.95985653597851,17.287068722487533,57.25394514756888,16.24037916840176,17.213893894113212,4.769103917432626,31.462191020367083,0.794847083917285,21.363687535732776,43.74465949859261,4.2286741783927635,-8.862977583029927,6.567077566391783,26.02733820670906,-15.821944964687448,46.68576841284556,82.29012835947897,-29.27736014878847,96.26310814303997,76.65403604176853,2008,-29.27736014878847,2007,96.26310814303997,300000.0,160000.0,20,6,No,2012,1021464.4582250381,0.0,1021464.4582250381,721464.4582250381,10,104,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",369962.1081253056,566099.132358239,240360.25057855062,278153.00930480525,248010.87906220742,48770.7342705474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,AEM + BKNG + MNST + NVO,Rebalanced annually,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,MNST,Consumer Staples,Monster Beverage Corporation,10,NVO,Health Care,Novo Nordisk A/S Common Stock,10,33.691944108163696,15.660828915112269,38.32956454293504,3.3617676388919673,13.06967134668467,23.37066049431436,32.8078622464333,-11.683859572648323,31.60306317250304,7.290383822793171,23.87273951780942,17.419684566600317,20.6851297221278,34.6451383672355,11.27408415950873,60.26196350530321,60.918608259768604,-21.426397696593725,71.28952453649698,81.58069491568365,2008,-21.426397696593725,2006,81.58069491568365,300000.0,160000.0,20,6,No,2012,1017470.2091988248,0.0,1017470.2091988248,717470.2091988248,10,104,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",384742.084747051,499022.8876550299,232100.25914903707,213492.5067899467,182147.28331826138,42682.721333820955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,AEM + BKNG + MNST + PBR,Rebalanced annually,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,MNST,Consumer Staples,Monster Beverage Corporation,10,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,10,43.232843063732716,19.079437271153807,46.914822775234924,12.005105177842058,2.296744050084843,10.316636094244425,31.564987516377947,-1.7337556773984923,18.491668934672518,50.210659695715975,3.750783174017444,1.9398035194691374,9.77897372568011,18.679140595631374,2.2603374219717836,35.84838745983307,79.17513837684623,-30.419603963567802,89.7938907597154,81.62758194531314,2008,-30.419603963567802,2007,89.7938907597154,300000.0,160000.0,20,6,No,2012,1012086.9297901153,0.0,1012086.9297901153,712086.9297901153,10,104,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",384882.7458359394,570483.938184856,236944.98351325787,264546.5020868753,199382.1571664138,43888.86667758084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,AEM + BKNG + NVO + EQIX,Rebalanced annually,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,NVO,Health Care,Novo Nordisk A/S Common Stock,10,EQIX,Real Estate,Equinix Inc. Common Stock REIT,10,18.00412047833968,22.715014740740635,41.309943112931684,-3.348896120735133,17.176463270347686,18.044894823479744,42.74463349988457,-11.22958395640097,28.217484052803925,15.13860639959409,25.078330919176558,10.646328895693674,10.135662198916979,56.80964577949241,-1.5905793717585945,45.36351757612269,82.179434377942,-27.19606853387921,71.82770678240814,85.22624486297016,2008,-27.19606853387921,2006,85.22624486297016,300000.0,160000.0,20,6,No,2012,996205.4681669838,0.0,996205.4681669838,696205.4681669838,10,104,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",395678.7345889105,519885.6958697761,218497.22572319693,238057.00995401538,186048.04350569728,23088.8017041352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AEM + BKNG + PBR + AAPL,Rebalanced annually,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,BKNG,Consumer Discretionary,Booking Holdings Inc. Common Stock,10,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,10,AAPL,Technology,Apple Inc. Common Stock,10,34.02815362345614,28.947202324433274,55.79590609441834,3.974972371291064,9.996420141956936,19.512493224630852,46.525921678882526,2.4764428628690487,19.923263029959607,56.005980090612354,-6.372743813679032,-2.8743203074620336,4.732583133203744,23.147106079958313,-10.410973230233788,40.07890655778316,112.26932546487413,-38.57384521649633,115.28701682354807,68.39529270781632,2008,-38.57384521649633,2007,115.28701682354807,300000.0,160000.0,20,6,No,2012,989368.268586819,0.0,989368.268586819,689368.268586819,10,104,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",345185.878123449,583140.3795081418,198200.71212178183,260719.3146874833,205212.76519917237,23848.119149264006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,AEM + MNST + PBR + ISRG,Rebalanced annually,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,10,MNST,Consumer Staples,Monster Beverage Corporation,10,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,10,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,10,43.21237307478509,22.43242289658817,34.69519797345025,9.468853048700057,8.305702689757512,17.801955295704865,32.61469567300111,6.294777426510545,32.01841030998912,50.49184406721457,1.610392285518528,11.846070671475145,-17.48139573901631,11.995389732982709,17.904367834881665,11.35080744651759,64.77235563629533,-36.62104400605548,108.15120337436213,53.22552746717848,2008,-36.62104400605548,2007,108.15120337436213,300000.0,160000.0,20,4,No,2010,707584.0918088476,0.0,707584.0918088476,407584.0918088476,10,104,2006,2025,annual_performance_20y_160k_source.csv,"Rank by full $160K withdrawals funded, then total cash delivered, then ending balance; enforce max 10 Top-250 appearances per ticker.",299676.5824015354,463780.41249995783,133939.18354688265,60694.747850219836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
