Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,Includes Semiconductor,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,10Y CAGR %
1,Best Worst Year,AVGO + PGR + PBR + LLY,AVGO,Technology,PGR,Finance,PBR,Energy,LLY,Health Care,Yes,21.700005,48.231483,69.358095,26.255864,38.457139,22.12998,23.51456,20.288851,32.346961,40.823319,2018,20.288851,100000.0,1619660.61,1519660.61,1519.660605,32.112041
2,Best Worst Year,PANW + PBR + LLY + CAT,PANW,Technology,PBR,Energy,LLY,Health Care,CAT,Industrials,No,25.181061,19.777938,71.840491,21.318391,39.779967,20.701238,20.540453,20.132694,27.638521,34.461992,2024,19.777938,100000.0,1037521.96,937521.96,937.521964,26.357123
3,Best Worst Year,SHOP + PGR + MPC + MRK,SHOP,Technology,PGR,Finance,MPC,Energy,MRK,Health Care,No,19.330749,19.39301,44.764721,22.012746,23.819524,47.900828,60.155397,19.548643,57.619282,24.210429,2025,19.330749,100000.0,1966866.91,1866866.91,1866.866906,34.703071
4,Best Worst Year,GOOG + PGR + PBR + LLY,GOOG,Technology,PGR,Finance,PBR,Energy,LLY,Health Care,No,25.396206,29.512373,58.019569,19.905447,40.628557,18.667147,23.527794,19.125572,29.194345,35.338198,2020,18.667147,100000.0,1048181.07,948181.07,948.181074,26.486342
5,Best Worst Year,GOOGL + PGR + PBR + LLY,GOOGL,Technology,PGR,Finance,PBR,Energy,LLY,Health Care,No,25.540157,29.609654,57.89324,19.800892,40.659864,18.623375,23.295687,19.183063,28.532809,35.37592,2020,18.623375,100000.0,1042552.45,942552.45,942.552446,26.418255
6,Best Worst Year,TSM + PGR + PBR + LLY,TSM,Technology,PGR,Finance,PBR,Energy,LLY,Health Care,Yes,23.029141,43.753865,53.89447,20.386168,27.359578,34.077051,32.462132,18.506896,30.9021,42.691139,2018,18.506896,100000.0,1273449.52,1173449.52,1173.44952,28.972813
7,Best Worst Year,LIN + AVGO + PBR + LLY,LIN,Basic Materials,AVGO,Technology,PBR,Energy,LLY,Health Care,Yes,23.259208,36.178632,70.482837,18.455696,44.095022,18.228951,26.991271,18.693037,25.735916,41.475099,2020,18.228951,100000.0,1515295.48,1415295.48,1415.295484,31.235017
8,Best Worst Year,AVGO + TMUS + PBR + LLY,AVGO,Technology,TMUS,Telecommunications,PBR,Energy,LLY,Health Care,Yes,20.810601,45.309097,67.323971,24.73173,32.249022,29.748885,23.05141,17.9795,19.558453,48.850569,2018,17.9795,100000.0,1525498.64,1425498.64,1425.498638,31.323117
9,Best Worst Year,SHOP + PGR + XOM + LLY,SHOP,Technology,PGR,Finance,XOM,Energy,LLY,Health Care,No,26.147096,33.112751,50.559101,18.417808,39.043938,55.255467,58.918248,17.95888,52.802607,22.644055,2018,17.95888,100000.0,2226629.29,2126629.29,2126.629293,36.38443
10,Best Worst Year,AVGO + TJX + BHP + MRK,AVGO,Technology,TJX,Consumer Discretionary,BHP,Energy,MRK,Health Care,Yes,28.81707,27.539846,35.345763,17.901742,17.993714,18.823898,28.644996,18.267857,21.008522,21.976664,2022,17.901742,100000.0,1093347.89,993347.89,993.347885,27.021091
