Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,Includes Semiconductor,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,10Y CAGR %
1,Best Profit Generator,NVDA + ANET + LLY + TSLA,NVDA,Technology,ANET,Telecommunications,LLY,Health Care,TSLA,Industrials,Yes,27.267511,88.700811,123.93058,-24.155865,84.800682,234.907233,28.829627,1.491922,72.241792,57.486069,2022,-24.155865,100000.0,7553828.94,7453828.94,7453.828944,54.104995
2,Best Profit Generator,NVDA + ANET + ISRG + TSLA,NVDA,Technology,ANET,Telecommunications,ISRG,Health Care,TSLA,Industrials,Yes,19.332712,94.0553,115.487749,-39.256708,76.220266,236.74509,30.653129,-0.813634,85.942777,64.106857,2022,-39.256708,100000.0,7408586.35,7308586.35,7308.586354,53.806091
3,Best Profit Generator,NVDA + ANET + PBR + TSLA,NVDA,Technology,ANET,Telecommunications,PBR,Energy,TSLA,Industrials,Yes,16.941871,79.810328,130.998621,-18.41199,73.387734,219.926519,30.727507,-1.70081,68.228322,93.857336,2022,-18.41199,100000.0,7408109.85,7308109.85,7308.109854,53.805102
4,Best Profit Generator,NVDA + ANET + PGR + TSLA,NVDA,Technology,ANET,Telecommunications,PGR,Finance,TSLA,Industrials,Yes,16.450725,93.223755,114.492784,-26.017945,70.990926,237.518034,31.078412,-6.273049,83.179962,63.803335,2022,-26.017945,100000.0,7403733.43,7303733.43,7303.733432,53.796013
5,Best Profit Generator,NVDA + ANET + BX + TSLA,NVDA,Technology,ANET,Telecommunications,BX,Finance,TSLA,Industrials,Yes,15.245845,89.143221,129.390143,-42.721064,95.057544,232.091304,48.876154,-8.595992,74.619274,59.697012,2022,-42.721064,100000.0,7383854.77,7283854.77,7283.854769,53.75467
6,Best Profit Generator,FCX + NVDA + ANET + TSLA,FCX,Basic Materials,NVDA,Technology,ANET,Telecommunications,TSLA,Industrials,Yes,26.058794,78.02235,112.124804,-34.55559,83.633655,251.911973,32.191602,-19.898314,78.71953,83.785801,2022,-34.55559,100000.0,7382036.53,7282036.53,7282.036531,53.750883
7,Best Profit Generator,NVDA + NFLX + ANET + TSLA,NVDA,Technology,NFLX,Consumer Discretionary,ANET,Telecommunications,TSLA,Industrials,Yes,18.504189,101.142474,124.981122,-45.482789,71.134228,243.925715,30.016742,1.237061,81.547347,62.137203,2022,-45.482789,100000.0,7380195.56,7280195.56,7280.195564,53.747048
8,Best Profit Generator,SCCO + NVDA + ANET + TSLA,SCCO,Basic Materials,NVDA,Technology,ANET,Telecommunications,TSLA,Industrials,Yes,33.842754,82.730281,121.20971,-31.677003,68.111413,241.827764,36.414428,-16.90527,80.473116,65.852567,2022,-31.677003,100000.0,7379284.26,7279284.26,7279.284263,53.74515
9,Best Profit Generator,AEM + NVDA + ANET + TSLA,AEM,Basic Materials,NVDA,Technology,ANET,Telecommunications,TSLA,Industrials,Yes,47.088288,91.884898,110.947848,-32.450619,62.578758,231.191355,38.339418,-11.498328,70.512468,75.437695,2022,-32.450619,100000.0,7368687.0,7268687.0,7268.686999,53.723056
10,Best Profit Generator,NVDA + ANET + MS + TSLA,NVDA,Technology,ANET,Telecommunications,MS,Finance,TSLA,Industrials,Yes,28.497285,90.308346,112.185646,-35.304304,79.944553,236.669388,32.963133,-14.311628,74.434948,69.096566,2022,-35.304304,100000.0,7360467.43,7260467.43,7260.467427,53.7059
